i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,10,4,8,57,5,1464.7063000000041,55,421
2,10,4,8,57,5,1573.4945900000096,55,416
3,10,4,8,57,5,2143.504060000004,55,418
4,10,4,8,57,5,2085.234080000006,55,416
5,10,4,8,57,5,1889.4567300000042,55,411
6,10,4,8,57,5,1685.7996800000017,55,412
7,10,4,8,57,5,2396.438680000009,55,414
8,10,4,8,57,5,1548.8519500000089,55,414
9,10,4,8,57,5,1886.2892600000057,55,504
10,10,4,8,57,5,1811.1745700000117,55,413
1,10,4,8,57,20,2944.6583926439366,220,1673
2,10,4,8,57,20,3675.6108564415244,220,1671
3,10,4,8,57,20,3586.4723292141953,220,1659
4,10,4,8,57,20,3558.292317763407,220,1660
5,10,4,8,57,20,3254.153441232904,220,1664
6,10,4,8,57,20,3671.4703483767053,220,1780
7,10,4,8,57,20,3480.956315524671,220,1662
8,10,4,8,57,20,3081.4585558464214,220,1660
9,10,4,8,57,20,3733.5403537740676,220,1665
10,10,4,8,57,20,2799.2535696957493,220,1743
1,10,4,8,57,30,3353.0633842017874,330,2538
2,10,4,8,57,30,3584.3724865546537,330,2529
3,10,4,8,57,30,3866.3472919773267,330,2511
4,10,4,8,57,30,3774.2037783847863,330,2523
5,10,4,8,57,30,3713.606462513227,330,2521
6,10,4,8,57,30,3778.1094314638785,330,2512
7,10,4,8,57,30,3769.9572993249317,330,2626
8,10,4,8,57,30,3921.028959090435,330,2526
9,10,4,8,57,30,3869.3595986372497,330,2522
10,10,4,8,57,30,3360.0453488606613,330,2532
1,10,4,8,57,40,3947.3154629880864,440,3521
2,10,4,8,57,40,3914.4562277771397,440,3391
3,10,4,8,57,40,3904.4062050588664,440,3468
4,10,4,8,57,40,3907.921410431716,440,3386
5,10,4,8,57,40,3956.985128054072,440,3402
6,10,4,8,57,40,3878.891978552683,440,3377
7,10,4,8,57,40,3898.7497903282,440,3386
8,10,4,8,57,40,3902.0187937440583,440,3378
9,10,4,8,57,40,3965.350809944254,440,3393
10,10,4,8,57,40,3795.312840765517,440,3486
1,10,20,40,293,10,3242.7788099923905,110,832
2,10,20,40,293,10,2681.719198330992,110,828
3,10,20,40,293,10,2716.765477990411,110,827
4,10,20,40,293,10,2825.5354975804066,110,834
5,10,20,40,293,10,2849.4312577861833,110,829
6,10,20,40,293,10,2914.998095550411,110,828
7,10,20,40,293,10,2670.89108809681,110,827
