i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,150,10,50,4314,75,4751.249180212165,870,9944
2,150,10,50,4314,75,4764.622553746959,870,9988
3,150,10,50,4314,75,4758.752770671838,870,9941
4,150,10,50,4314,75,4748.473130178552,870,10065
5,150,10,50,4314,75,4751.467509461906,870,9908
1,150,10,50,4314,150,4904.908405654572,900,10425
2,150,10,50,4314,150,4906.496892854157,900,10318
3,150,10,50,4314,150,4902.726515106098,900,10383
4,150,10,50,4314,150,4899.916413801,900,10312
5,150,10,50,4314,150,4896.233139035679,900,10402
1,150,10,50,4314,300,4951.008742145935,900,10501
2,150,10,50,4314,300,4947.852954643364,900,10507
3,150,10,50,4314,300,4952.079068750101,900,10438
4,150,10,50,4314,300,4949.059207128294,900,10498
5,150,10,50,4314,300,4950.01323382022,900,10420
1,150,10,90,7231,75,4760.079954493967,870,9957
2,150,10,90,7231,75,4753.734103777097,870,9892
3,150,10,90,7231,75,4765.507775799708,870,9937
4,150,10,90,7231,75,4754.833575556493,870,9905
5,150,10,90,7231,75,4740.908848581016,870,9932
1,150,10,90,7231,150,4902.656232111121,900,10312
2,150,10,90,7231,150,4902.013353822779,900,10384
3,150,10,90,7231,150,4900.4844788488535,900,10269
4,150,10,90,7231,150,4899.846587409802,900,10309
5,150,10,90,7231,150,4903.407112295679,900,10338
1,150,10,90,7231,300,4949.151749388044,900,10446
2,150,10,90,7231,300,4950.658047727369,900,10498
3,150,10,90,7231,300,4950.726913176887,900,10527
4,150,10,90,7231,300,4950.202342023172,900,10566
5,150,10,90,7231,300,4950.770920079427,900,10540
1,300,10,50,8809,75,4761.20056564154,2052,24297
2,300,10,50,8809,75,4770.507213989968,2052,24317
3,300,10,50,8809,75,4768.736200451309,2052,24294
4,300,10,50,8809,75,4755.948828787055,2052,24193
5,300,10,50,8809,75,4761.581073402186,2052,24418
1,300,10,50,8809,150,4920.5135536365115,2052,24765
2,300,10,50,8809,150,4918.8794336200845,2052,24502
3,300,10,50,8809,150,4928.585186160836,2052,24609
4,300,10,50,8809,150,4919.803121053951,2052,24595
5,300,10,50,8809,150,4911.99176887743,2052,24668
1,300,10,50,8809,300,4985.986755561826,2094,25459
2,300,10,50,8809,300,4987.156342810372,2094,25483
3,300,10,50,8809,300,4987.049210617803,2094,25481
4,300,10,50,8809,300,4986.870078872664,2094,25759
5,300,10,50,8809,300,4986.648393452294,2094,25541
1,300,10,90,15147,75,4769.640697393751,2052,24132
2,300,10,90,15147,75,4768.745361600018,2052,24073
3,300,10,90,15147,75,4765.627808355093,2052,24116
4,300,10,90,15147,75,4768.8020145013625,2052,24050
5,300,10,90,15147,75,4757.136357013801,2052,24160
1,300,10,90,15147,150,4922.091447860806,2052,24538
2,300,10,90,15147,150,4922.330068656761,2052,24463
3,300,10,90,15147,150,4930.344129821589,2052,24437
4,300,10,90,15147,150,4923.362918991414,2052,24225
5,300,10,90,15147,150,4927.244413120045,2052,24258
1,300,10,90,15147,300,4986.310495125439,2094,25085
2,300,10,90,15147,300,4988.598804118658,2094,25162
3,300,10,90,15147,300,4988.4864404570535,2094,25120
4,300,10,90,15147,300,4987.545139017948,2094,25279
5,300,10,90,15147,300,4986.772636709673,2094,25136
