i,n,b_low,b_high,r,approx,n_calls,time_ms
1,10,2,19,20,1042.7125470353128,22,158
2,10,2,19,20,1388.7388107511586,23,160
3,10,2,19,20,1331.930941872422,22,148
4,10,2,19,20,2357.8500984320754,23,131
5,10,2,19,20,2145.627560016382,23,137
6,10,2,19,20,1377.0570754663368,22,127
7,10,2,19,20,1827.5211688921233,23,133
8,10,2,19,20,2620.374083504717,23,133
9,10,2,19,20,2060.411200171656,24,139
10,10,2,19,20,1811.9696941155532,23,131
11,10,2,19,20,1825.4263779721443,23,133
12,10,2,19,20,1377.0570754663368,22,126
13,10,2,19,20,1078.1319464642067,22,126
14,10,2,19,20,1258.5683004746438,22,126
15,10,2,19,20,1029.680701412027,22,126
16,10,2,19,20,1979.4979378778776,23,131
17,10,2,19,20,1348.9498796425094,22,125
18,10,2,19,20,1388.7388107511586,23,128
19,10,2,19,20,1395.5062892963836,22,122
20,10,2,19,20,1430.2658039069672,22,124
21,10,2,19,20,1918.2107755090394,24,137
22,10,2,19,20,1331.930941872422,22,126
23,10,2,19,20,1258.7185760377733,22,124
24,10,2,19,20,2032.9577930892654,24,135
25,10,2,19,20,2019.10522664417,23,131
26,10,2,19,20,1718.1714199650019,23,131
27,10,2,19,20,1204.9852919280452,22,123
28,10,2,19,20,2767.8014361168857,24,138
29,10,2,19,20,1699.181466700497,23,131
30,10,2,19,20,1204.9852919280452,22,124
31,10,2,19,20,2058.753889237755,23,133
32,10,2,19,20,1979.5725564529687,22,126
33,10,2,19,20,1542.9697282542627,23,130
34,10,2,19,20,1149.9380390242122,22,124
35,10,2,19,20,1367.3835064758248,22,126
36,10,2,19,20,2620.374083504717,23,130
37,10,2,19,20,1435.3322889634824,23,132
38,10,2,19,20,1057.491803983202,22,125
39,10,2,19,20,1397.7058465435664,22,125
40,10,2,19,20,1670.737844715935,24,136
41,10,2,19,20,1545.2251289263331,23,131
42,10,2,19,20,2753.4243694527217,23,132
43,10,2,19,20,2382.473424326966,23,131
44,10,2,19,20,2352.8586589659544,23,131
45,10,2,19,20,2382.473424326966,23,131
46,10,2,19,20,1080.3173040642303,22,123
47,10,2,19,20,1197.74339040027,22,123
48,10,2,19,20,2294.874357878603,23,131
49,10,2,19,20,2595.397783621652,23,131
50,10,2,19,20,1332.528734630092,22,126
51,10,2,19,20,2032.9577930892654,24,135
52,10,2,19,20,1427.4940036896694,23,131
53,10,2,19,20,1971.4066247823966,24,137
54,10,2,19,20,2549.1351741476583,23,132
55,10,2,19,20,1334.6132674007324,22,124
56,10,2,19,20,1593.7448029029938,23,131
57,10,2,19,20,1307.1720327638127,22,124
58,10,2,19,20,1430.2658039069672,22,127
59,10,2,19,20,1680.971837822144,23,129
60,10,2,19,20,1435.3322889634824,23,129
61,10,2,19,20,2495.852747297921,24,137
62,10,2,19,20,1377.0570754663368,22,126
63,10,2,19,20,2431.1601424616033,24,139
64,10,2,19,20,1556.6894959244319,24,137
65,10,2,19,20,1444.4688265240327,22,126
66,10,2,19,20,1889.971152771641,24,135
67,10,2,19,20,1204.9852919280452,22,127
68,10,2,19,20,2663.6898769247255,23,133
69,10,2,19,20,1117.80419294572,22,126
70,10,2,19,20,1444.4688265240327,22,125
71,10,2,19,20,1377.0570754663368,22,126
72,10,2,19,20,2151.8431624394907,24,137
73,10,2,19,20,1057.491803983202,22,126
74,10,2,19,20,1665.0966901537934,23,132
75,10,2,19,20,1275.923899119609,23,128
76,10,2,19,20,1307.1720327638127,22,125
77,10,2,19,20,1334.6132674007324,22,126
78,10,2,19,20,1183.6733442341226,22,125
79,10,2,19,20,1197.74339040027,22,124
80,10,2,19,20,1331.930941872422,22,125
81,10,2,19,20,1331.930941872422,22,125
82,10,2,19,20,2253.395328490836,23,134
83,10,2,19,20,2417.626438768756,23,133
84,10,2,19,20,2357.8500984320754,23,133
85,10,2,19,20,1943.338606937445,24,138
86,10,2,19,20,1662.0703927555303,23,131
87,10,2,19,20,2151.8431624394907,24,141
88,10,2,19,20,2274.133624355967,23,134
89,10,2,19,20,2060.411200171656,24,139
90,10,2,19,20,1181.7893840632858,22,128
91,10,2,19,20,1430.2658039069672,22,127
92,10,2,19,20,2656.985219151797,23,135
93,10,2,19,20,1999.1805158511097,23,134
94,10,2,19,20,1117.80419294572,22,125
95,10,2,19,20,1181.7893840632858,22,128
96,10,2,19,20,2595.397783621652,23,134
97,10,2,19,20,1029.680701412027,22,129
98,10,2,19,20,1444.4688265240327,22,125
99,10,2,19,20,1986.345812980234,24,137
100,10,2,19,20,1953.7266349101103,24,137
1,10,2,20,40,3531.2086273681352,46,272
2,10,2,20,40,2774.1166168800582,45,263
3,10,2,20,40,1949.9728962613005,44,259
4,10,2,20,40,1621.7459327261809,43,252
5,10,2,20,40,3310.4240170442667,46,275
6,10,2,20,40,2283.776894329564,44,258
7,10,2,20,40,2597.3094072297777,45,265
8,10,2,20,40,2946.836828290189,47,275
9,10,2,20,40,2436.0090233692385,44,257
10,10,2,20,40,1797.5131675460268,43,245
11,10,2,20,40,2694.339414637729,44,253
12,10,2,20,40,2595.1585799678296,44,256
