i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,150,10,50,4314,75,1754.015967561927,48,545
2,150,10,50,4314,75,1092.7066822906631,36,407
3,150,10,50,4314,75,1188.7259647998428,48,543
4,150,10,50,4314,75,1481.723495503059,36,407
5,150,10,50,4314,75,1780.5034759299556,48,549
1,150,10,50,4314,150,1257.880889424799,36,400
2,150,10,50,4314,150,3092.9366911736633,42,465
3,150,10,50,4314,150,1806.0183123914367,42,462
4,150,10,50,4314,150,1831.411789860556,36,394
5,150,10,50,4314,150,1897.7561566754046,36,392
1,150,10,50,4314,300,3209.5055510612992,36,401
2,150,10,50,4314,300,1697.3328555670687,30,330
3,150,10,50,4314,300,3179.38176199093,36,400
4,150,10,50,4314,300,2304.8796533844466,36,395
5,150,10,50,4314,300,1424.1404259341473,27,294
1,150,10,90,7231,75,704.6100320542258,24,261
2,150,10,90,7231,75,683.9951893947966,12,128
3,150,10,90,7231,75,1041.9981497879562,12,130
4,150,10,90,7231,75,2146.7999683936882,24,265
5,150,10,90,7231,75,1606.253157207444,48,529
1,150,10,90,7231,150,1237.8087041536462,18,198
2,150,10,90,7231,150,1063.9621598715028,24,259
3,150,10,90,7231,150,1620.790384961925,18,195
4,150,10,90,7231,150,1111.0241542189701,30,327
5,150,10,90,7231,150,1596.9893784373266,18,196
1,150,10,90,7231,300,813.5300706309982,18,199
2,150,10,90,7231,300,2764.8956300432305,21,232
3,150,10,90,7231,300,1132.5745676119552,18,197
4,150,10,90,7231,300,1165.9465350804023,15,165
5,150,10,90,7231,300,1354.0083507213906,21,231
1,300,10,50,8809,75,1782.074182256277,84,951
2,300,10,50,8809,75,1519.8608388452458,56,632
3,300,10,50,8809,75,1866.5861105468832,84,961
4,300,10,50,8809,75,1497.0805021582573,84,961
5,300,10,50,8809,75,1616.017491098882,84,968
1,300,10,50,8809,150,1655.6331289604534,70,804
2,300,10,50,8809,150,1241.1265835919526,84,964
3,300,10,50,8809,150,1627.215265434503,56,641
4,300,10,50,8809,150,1434.9211928567336,70,801
5,300,10,50,8809,150,1873.223903740935,84,961
1,300,10,50,8809,300,1753.1242043222062,63,731
2,300,10,50,8809,300,2848.376285540559,56,659
3,300,10,50,8809,300,3113.1886740219675,63,740
4,300,10,50,8809,300,2296.494812127616,70,819
5,300,10,50,8809,300,2449.1258094646278,77,903
1,300,10,90,15147,75,785.8119465266298,56,634
2,300,10,90,15147,75,856.6972797834921,56,645
3,300,10,90,15147,75,336.9992595916707,28,313
4,300,10,90,15147,75,1380.7326744645482,112,1270
5,300,10,90,15147,75,1029.8911483016188,56,629
1,300,10,90,15147,150,881.1216827374933,42,473
2,300,10,90,15147,150,1740.7252121352922,56,631
3,300,10,90,15147,150,2476.604788455601,98,1112
4,300,10,90,15147,150,670.9934577904299,28,314
5,300,10,90,15147,150,1416.8171185175747,42,477
1,300,10,90,15147,300,1488.5420291969647,42,478
2,300,10,90,15147,300,1460.8527333577097,42,477
3,300,10,90,15147,300,2324.7732117555424,63,720
4,300,10,90,15147,300,1681.7443803999122,42,477
5,300,10,90,15147,300,2681.801725684476,56,637
