i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,10,4,8,57,5,2804.437500000015,946,5524
2,10,4,8,57,5,2804.437500000015,953,5566
3,10,4,8,57,5,2804.437500000015,963,5622
4,10,4,8,57,5,2804.437500000015,947,5549
5,10,4,8,57,5,2804.437500000015,943,5688
6,10,4,8,57,5,2804.437500000015,956,5620
7,10,4,8,57,5,2804.437500000015,947,5554
8,10,4,8,57,5,2804.437500000015,955,5613
9,10,4,8,57,5,2804.437500000015,939,5522
10,10,4,8,57,5,2804.437500000015,940,5536
1,10,4,8,57,20,3855.6309960661765,4570,27186
2,10,4,8,57,20,3855.6309960661765,4565,27023
3,10,4,8,57,20,3855.6309960661765,4553,26927
4,10,4,8,57,20,3855.6309960661765,4561,26981
5,10,4,8,57,20,3855.6309960661765,4561,26984
6,10,4,8,57,20,3855.6309960661765,4561,26998
7,10,4,8,57,20,3855.6309960661765,4562,27160
8,10,4,8,57,20,3855.6309960661765,4568,27357
9,10,4,8,57,20,3855.6309960661765,4559,27377
10,10,4,8,57,20,3855.6309960661765,4566,27305
1,10,4,8,57,30,3955.408835544579,5711,33905
2,10,4,8,57,30,3955.408835544579,5716,33679
3,10,4,8,57,30,3955.408835544579,5721,33703
4,10,4,8,57,30,3955.408835544579,5708,33665
5,10,4,8,57,30,3955.408835544579,5719,33752
6,10,4,8,57,30,3955.408835544579,5715,33662
7,10,4,8,57,30,3955.408835544579,5705,33779
8,10,4,8,57,30,3955.408835544579,5705,34103
9,10,4,8,57,30,3955.408835544579,5713,34262
10,10,4,8,57,30,3955.408835544579,5712,34115
1,10,4,8,57,40,3984.8542595224853,6420,38950
2,10,4,8,57,40,3984.8542595224853,6419,38682
3,10,4,8,57,40,3984.8542595224853,6420,38680
4,10,4,8,57,40,3984.8542595224853,6416,39057
5,10,4,8,57,40,3984.8542595224853,6425,38715
6,10,4,8,57,40,3984.8542595224853,6423,38686
7,10,4,8,57,40,3984.8542595224853,6423,38911
8,10,4,8,57,40,3984.8542595224853,6424,39737
9,10,4,8,57,40,3984.8542595224853,6430,40329
10,10,4,8,57,40,3984.8542595224853,6416,39113
1,10,20,40,293,10,3486.458106324005,2706,15931
2,10,20,40,293,10,3486.458106324005,2691,15661
3,10,20,40,293,10,3486.458106324005,2714,15785
4,10,20,40,293,10,3486.458106324005,2706,15727
5,10,20,40,293,10,3486.458106324005,2699,15773
6,10,20,40,293,10,3486.458106324005,2702,15869
7,10,20,40,293,10,3486.458106324005,2704,15860
8,10,20,40,293,10,3486.458106324005,2709,16033
9,10,20,40,293,10,3486.458106324005,2718,16123
10,10,20,40,293,10,3486.458106324005,2706,16029
1,10,20,40,293,40,4014.5528739265874,11524,70197
2,10,20,40,293,40,4014.5528739265874,11517,69113
3,10,20,40,293,40,4014.5528739265874,11522,69072
4,10,20,40,293,40,4014.5528739265874,11511,68990
5,10,20,40,293,40,4014.5528739265874,11529,69111
6,10,20,40,293,40,4014.5528739265874,11522,69118
7,10,20,40,293,40,4014.5528739265874,11538,69802
8,10,20,40,293,40,4014.5528739265874,11541,70139
9,10,20,40,293,40,4014.5528739265874,11506,69955
10,10,20,40,293,40,4014.5528739265874,11527,69691
1,10,20,40,293,60,4048.9759709191258,14533,88271
2,10,20,40,293,60,4048.9759709191258,14542,87741
3,10,20,40,293,60,4048.9759709191258,14529,87546
4,10,20,40,293,60,4048.9759709191258,14521,87481
5,10,20,40,293,60,4048.9759709191258,14524,87508
6,10,20,40,293,60,4048.9759709191258,14517,87501
7,10,20,40,293,60,4048.9759709191258,14527,88302
8,10,20,40,293,60,4048.9759709191258,14518,89092
9,10,20,40,293,60,4048.9759709191258,14536,89459
10,10,20,40,293,60,4048.9759709191258,14545,88688
1,10,20,40,293,80,4062.222739688914,16301,99545
2,10,20,40,293,80,4062.222739688914,16301,99186
3,10,20,40,293,80,4062.222739688914,16311,99212
4,10,20,40,293,80,4062.222739688914,16303,99135
5,10,20,40,293,80,4062.2152448948545,16307,99186
6,10,20,40,293,80,4062.222739688914,16301,99067
