i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,10,4,8,57,5,2804.437500000015,952,5452
2,10,4,8,57,5,2804.437500000015,955,5476
3,10,4,8,57,5,2804.437500000015,968,5562
4,10,4,8,57,5,2804.437500000015,952,5502
5,10,4,8,57,5,2804.437500000015,945,5445
6,10,4,8,57,5,2804.437500000015,962,5542
7,10,4,8,57,5,2804.437500000015,952,5513
8,10,4,8,57,5,2804.437500000015,962,5584
9,10,4,8,57,5,2804.437500000015,959,5573
10,10,4,8,57,5,2804.437500000015,963,5574
1,10,4,8,57,20,3855.6309960661765,4570,26793
2,10,4,8,57,20,3855.6309960661765,4565,26568
3,10,4,8,57,20,3855.6309960661765,4553,26521
4,10,4,8,57,20,3855.6309960661765,4561,26537
5,10,4,8,57,20,3855.6309960661765,4561,26633
6,10,4,8,57,20,3855.6309960661765,4561,26751
7,10,4,8,57,20,3855.6309960661765,4562,27019
8,10,4,8,57,20,3855.6309960661765,4568,27007
9,10,4,8,57,20,3855.6309960661765,4559,26807
10,10,4,8,57,20,3855.6309960661765,4566,26707
1,10,4,8,57,30,3955.408835544579,5711,33409
2,10,4,8,57,30,3955.408835544579,5716,33264
3,10,4,8,57,30,3955.408835544579,5721,33329
4,10,4,8,57,30,3955.408835544579,5708,33223
5,10,4,8,57,30,3955.408835544579,5719,33431
6,10,4,8,57,30,3955.408835544579,5715,33509
7,10,4,8,57,30,3955.408835544579,5705,33737
8,10,4,8,57,30,3955.408835544579,5705,33717
9,10,4,8,57,30,3955.408835544579,5713,33529
10,10,4,8,57,30,3955.408835544579,5712,33429
1,10,4,8,57,40,3984.8542595224853,6420,38399
2,10,4,8,57,40,3984.8542595224853,6419,38135
3,10,4,8,57,40,3984.8542595224853,6420,38089
4,10,4,8,57,40,3984.8542595224853,6416,38217
5,10,4,8,57,40,3984.8542595224853,6425,38309
6,10,4,8,57,40,3984.8542595224853,6423,38384
7,10,4,8,57,40,3984.8542595224853,6423,38732
8,10,4,8,57,40,3984.8542595224853,6424,38714
9,10,4,8,57,40,3984.8542595224853,6430,38556
10,10,4,8,57,40,3984.8542595224853,6416,38269
1,10,20,40,293,10,3486.458106324005,2713,15608
2,10,20,40,293,10,3486.458106324005,2695,15391
3,10,20,40,293,10,3486.458106324005,2718,15521
