i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,10,4,8,57,5,2804.437500000015,929,5118
2,10,4,8,57,5,2804.437500000015,927,5103
3,10,4,8,57,5,2804.437500000015,917,5042
4,10,4,8,57,5,2804.437500000015,916,5045
5,10,4,8,57,5,2804.437500000015,936,5163
6,10,4,8,57,5,2804.437500000015,934,5169
7,10,4,8,57,5,2804.437500000015,919,5104
8,10,4,8,57,5,2804.437500000015,942,5240
9,10,4,8,57,5,2804.437500000015,948,5310
10,10,4,8,57,5,2804.437500000015,929,5186
1,10,4,8,57,20,3846.314386743268,482,2734
2,10,4,8,57,20,3832.480986252525,460,2592
3,10,4,8,57,20,3853.009737020812,484,2721
4,10,4,8,57,20,3847.8474014259673,458,2577
5,10,4,8,57,20,3839.2488264868216,468,2630
6,10,4,8,57,20,3846.5346454729447,477,2662
7,10,4,8,57,20,3854.5190534227586,483,2722
8,10,4,8,57,20,3848.489969666988,475,2714
9,10,4,8,57,20,3850.3620757944286,483,2765
10,10,4,8,57,20,3851.9604941049292,462,2633
1,10,4,8,57,30,3955.408835544579,614,3487
2,10,4,8,57,30,3953.962101451236,613,3462
3,10,4,8,57,30,3953.206551843018,587,3311
4,10,4,8,57,30,3948.725411609901,592,3338
5,10,4,8,57,30,3953.607219971314,596,3349
6,10,4,8,57,30,3955.408835544579,608,3431
7,10,4,8,57,30,3954.287705919124,601,3415
8,10,4,8,57,30,3952.693963304418,619,3563
9,10,4,8,57,30,3953.2606666762567,630,3624
10,10,4,8,57,30,3954.423587960549,624,3561
1,10,4,8,57,40,3984.488166298883,706,4057
2,10,4,8,57,40,3984.624651726292,729,4178
3,10,4,8,57,40,3984.6995518081335,697,3991
4,10,4,8,57,40,3984.8542595224853,683,3896
5,10,4,8,57,40,3984.6995518081335,707,4055
6,10,4,8,57,40,3984.4444204739393,701,4012
7,10,4,8,57,40,3984.8542595224853,695,3998
8,10,4,8,57,40,3984.624651726292,698,4055
9,10,4,8,57,40,3984.8542595224853,717,4175
10,10,4,8,57,40,3984.8542595224853,719,4178
1,10,20,40,293,10,3486.458106324005,997,5534
2,10,20,40,293,10,3486.458106324005,990,5458
3,10,20,40,293,10,3486.458106324005,983,5430
4,10,20,40,293,10,3486.458106324005,990,5470
5,10,20,40,293,10,3486.458106324005,988,5439
6,10,20,40,293,10,3486.458106324005,981,5407
7,10,20,40,293,10,3486.458106324005,982,5446
8,10,20,40,293,10,3486.458106324005,998,5578
9,10,20,40,293,10,3486.458106324005,985,5548
10,10,20,40,293,10,3486.458106324005,1014,5663
1,10,20,40,293,40,4013.0675415002015,1170,6733
2,10,20,40,293,40,4013.214223640094,1176,6687
3,10,20,40,293,40,4011.8178634005626,1164,6599
4,10,20,40,293,40,4009.909266075781,1147,6495
5,10,20,40,293,40,4011.630125716824,1160,6580
6,10,20,40,293,40,4009.19325356382,1139,6472
7,10,20,40,293,40,4009.4735208895345,1159,6611
8,10,20,40,293,40,4011.1216776987158,1178,6815
9,10,20,40,293,40,4014.4747488296025,1152,6690
10,10,20,40,293,40,4012.9108907177197,1164,6650
1,10,20,40,293,60,4048.4283195828166,1455,8347
2,10,20,40,293,60,4048.249692725011,1450,8261
3,10,20,40,293,60,4047.0846002034596,1443,8212
4,10,20,40,293,60,4048.0202969680968,1467,8362
5,10,20,40,293,60,4048.1450711327407,1426,8126
6,10,20,40,293,60,4047.8510863286224,1436,8177
7,10,20,40,293,60,4048.465177635331,1452,8355
8,10,20,40,293,60,4048.4404768888858,1447,8411
9,10,20,40,293,60,4048.907667785648,1443,8398
10,10,20,40,293,60,4048.4033164556004,1464,8489
1,10,20,40,293,80,4061.929402405315,1645,9534
2,10,20,40,293,80,4062.039483140971,1587,9123
3,10,20,40,293,80,4061.1352158343147,1583,9073
4,10,20,40,293,80,4061.8854337634116,1615,9287
5,10,20,40,293,80,4061.365147854605,1610,9274
6,10,20,40,293,80,4060.9594988054596,1609,9312
7,10,20,40,293,80,4061.98857500509,1636,9477
8,10,20,40,293,80,4061.9982994188676,1561,9153
9,10,20,40,293,80,4061.542286245515,1608,9446
10,10,20,40,293,80,4061.7992469081714,1628,9567
1,10,40,80,571,10,3486.458106324005,980,5478
2,10,40,80,571,10,3486.458106324005,981,5446
3,10,40,80,571,10,3478.514500461654,1006,5594
4,10,40,80,571,10,3486.458106324005,979,5440
5,10,40,80,571,10,3486.458106324005,1004,5577
6,10,40,80,571,10,3486.458106324005,1001,5557
7,10,40,80,571,10,3486.458106324005,1000,5607
8,10,40,80,571,10,3486.458106324005,980,5531
9,10,40,80,571,10,3486.458106324005,985,5594
10,10,40,80,571,10,3486.458106324005,991,5571
1,10,40,80,571,40,4011.265099970909,1217,6948
2,10,40,80,571,40,4014.5528739265874,1203,6857
3,10,40,80,571,40,4012.2410128842707,1219,6915
4,10,40,80,571,40,4013.133855907241,1219,6925
5,10,40,80,571,40,4011.8319542293343,1203,6821
6,10,40,80,571,40,3997.7355585676464,1255,7131
7,10,40,80,571,40,4013.0469516797284,1224,6984
8,10,40,80,571,40,4014.5528739265874,1221,7083
9,10,40,80,571,40,4009.8659812768383,1216,7050
10,10,40,80,571,40,4012.198132267649,1230,7142
1,10,40,80,571,60,4046.554620451977,1590,9224
2,10,40,80,571,60,4048.370460528584,1539,8832
3,10,40,80,571,60,4043.7078190331094,1569,8949
4,10,40,80,571,60,4047.759850371232,1557,8918
5,10,40,80,571,60,4048.0246612148003,1547,8838
6,10,40,80,571,60,4048.098150071038,1550,8871
7,10,40,80,571,60,4047.040901917583,1556,8949
8,10,40,80,571,60,4048.133750890578,1605,9392
9,10,40,80,571,60,4046.2795308194327,1596,9312
