i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,150,10,50,4314,75,4777.176986895776,205576,2407978
2,150,10,50,4314,75,4776.57275403192,205553,2390733
3,150,10,50,4314,75,4776.484465922418,205694,2370457
4,150,10,50,4314,75,4777.293137444765,204726,2349292
5,150,10,50,4314,75,4777.293137444765,205370,2341419
1,150,10,50,4314,150,4926.348971216571,131784,1474643
2,150,10,50,4314,150,4926.317097024614,132065,1487245
3,150,10,50,4314,150,4926.231477216542,132083,1506758
4,150,10,50,4314,150,4926.191395067028,131860,1494137
5,150,10,50,4314,150,4926.202169646512,131993,1483814
1,150,10,50,4314,300,4986.226137067525,83562,960937
2,150,10,50,4314,300,4986.206118871541,83554,956813
3,150,10,50,4314,300,4986.237079023112,83667,952188
4,150,10,50,4314,300,4986.295099997632,83339,946747
5,150,10,50,4314,300,4986.27979160105,83473,947251
1,150,10,90,7231,75,4777.1484509105685,226217,2507703
2,150,10,90,7231,75,4777.293137444765,225863,2522768
3,150,10,90,7231,75,4777.112374242602,226304,2556754
4,150,10,90,7231,75,4777.176986895776,226359,2542589
5,150,10,90,7231,75,4777.176986895776,226057,2518996
1,150,10,90,7231,150,4926.1472830923085,148582,1697578
2,150,10,90,7231,150,4926.285519402722,148690,1676879
3,150,10,90,7231,150,4926.310480672557,148350,1667824
4,150,10,90,7231,150,4926.346872262878,148703,1675041
5,150,10,90,7231,150,4926.277168293878,148481,1672547
1,150,10,90,7231,300,4986.56409094035,94565,1070867
2,150,10,90,7231,300,4986.5026330901765,94210,1074801
3,150,10,90,7231,300,4986.488098930274,94149,1083406
4,150,10,90,7231,300,4986.452427072249,94743,1089015
5,150,10,90,7231,300,4986.547883871392,94075,1072622
1,300,10,50,8809,75,4780.223433925961,965785,11150843
2,300,10,50,8809,75,4780.223433925961,965784,11043703
3,300,10,50,8809,75,4780.223433925961,966906,11017198
4,300,10,50,8809,75,4780.223433925961,965431,10984299
5,300,10,50,8809,75,4780.223433925961,965710,10975892
1,300,10,50,8809,150,4943.226670102159,614453,7061182
2,300,10,50,8809,150,4943.146968307798,613971,7097796
3,300,10,50,8809,150,4943.149955261761,614227,7172869
4,300,10,50,8809,150,4943.146968307798,614747,7112249
5,300,10,50,8809,150,4943.124400380456,614561,7068035
1,300,10,50,8809,300,5013.6504797859625,390768,4618889
2,300,10,50,8809,300,5013.637797922878,391225,4579401
3,300,10,50,8809,300,5013.633160126078,391492,4558562
4,300,10,50,8809,300,5013.6504797859625,390592,4541427
5,300,10,50,8809,300,5013.61721945686,391380,4542569
