i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,150,10,50,4314,75,4777.293137444765,197229,2294623
2,150,10,50,4314,75,4777.293137444765,197017,2379679
3,150,10,50,4314,75,4777.293137444765,197197,2157232
4,150,10,50,4314,75,4777.293137444765,197075,2228194
5,150,10,50,4314,75,4777.293137444765,197130,2142968
1,150,10,50,4314,150,4926.316044008989,131724,1361666
2,150,10,50,4314,150,4926.346872262878,131752,1356010
3,150,10,50,4314,150,4926.353220165499,131831,1353097
4,150,10,50,4314,150,4926.329854190309,131645,1351286
5,150,10,50,4314,150,4926.353220165499,131783,1351986
1,150,10,50,4314,300,4986.304733250816,83471,874910
2,150,10,50,4314,300,4986.292941213497,83448,870613
3,150,10,50,4314,300,4986.311183164941,83431,867089
4,150,10,50,4314,300,4986.311183164941,83219,867037
5,150,10,50,4314,300,4986.299059605484,83238,868493
1,150,10,90,7231,75,4777.293137444765,217116,2262119
2,150,10,90,7231,75,4777.293137444765,217120,2362653
3,150,10,90,7231,75,4777.293137444765,217212,2380763
4,150,10,90,7231,75,4776.57275403192,217337,2371901
5,150,10,90,7231,75,4777.293137444765,217184,2369929
1,150,10,90,7231,150,4926.353220165499,148326,1636279
2,150,10,90,7231,150,4926.346872262878,148397,1624481
3,150,10,90,7231,150,4926.346872262878,148286,1620325
4,150,10,90,7231,150,4926.337077699581,148258,1613769
5,150,10,90,7231,150,4926.353220165499,148224,1624453
1,150,10,90,7231,300,4986.560247703511,94260,1058144
2,150,10,90,7231,300,4986.573159203776,94379,1054533
3,150,10,90,7231,300,4986.546909152187,94226,1049920
4,150,10,90,7231,300,4986.5700453466725,94068,1046683
5,150,10,90,7231,300,4986.566653901991,94199,1045032
1,300,10,50,8809,75,4780.223433925961,940301,10539161
2,300,10,50,8809,75,4780.223433925961,940172,9972604
3,300,10,50,8809,75,4780.223433925961,940202,9927894
4,300,10,50,8809,75,4780.223433925961,940650,10087623
5,300,10,50,8809,75,4780.223433925961,940563,10430517
1,300,10,50,8809,150,4943.132533467542,598307,6402491
2,300,10,50,8809,150,4943.017236496442,598475,6422036
3,300,10,50,8809,150,4943.032416136817,598455,6386429
4,300,10,50,8809,150,4943.146968307798,598052,6725933
5,300,10,50,8809,150,4943.152665589885,598038,6456505
1,300,10,50,8809,300,5013.651561773249,389492,4218446
2,300,10,50,8809,300,5013.6504797859625,389089,4192902
3,300,10,50,8809,300,5013.651561773249,389526,4189517
4,300,10,50,8809,300,5013.651561773249,388998,4183363
5,300,10,50,8809,300,5013.651561773249,389170,4411007
1,300,10,90,15147,75,4780.223433925961,1024524,11871108
2,300,10,90,15147,75,4780.223433925961,1024396,10972821
3,300,10,90,15147,75,4780.223433925961,1024324,10856087
4,300,10,90,15147,75,4780.223433925961,1024839,11270214
5,300,10,90,15147,75,4780.223433925961,1024669,12382351
