i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,150,10,50,4314,75,4777.293137444765,197252,2806077
2,150,10,50,4314,75,4777.293137444765,197040,2430318
3,150,10,50,4314,75,4777.293137444765,197230,2484726
4,150,10,50,4314,75,4777.293137444765,197102,2620824
5,150,10,50,4314,75,4777.293137444765,197147,2053491
1,150,10,50,4314,150,4926.316044008989,131740,1361815
2,150,10,50,4314,150,4926.346872262878,131761,1350756
3,150,10,50,4314,150,4926.353220165499,131852,1347605
4,150,10,50,4314,150,4926.353220165499,131711,1344517
5,150,10,50,4314,150,4926.353220165499,131799,1343277
1,150,10,50,4314,300,4986.304733250816,83477,874575
2,150,10,50,4314,300,4986.292941213497,83458,868923
3,150,10,50,4314,300,4986.311183164941,83446,865314
4,150,10,50,4314,300,4986.300089521029,83284,860350
5,150,10,50,4314,300,4986.299059605484,83271,860077
1,150,10,90,7231,75,4777.293137444765,217160,2373043
2,150,10,90,7231,75,4777.293137444765,217308,2696170
3,150,10,90,7231,75,4777.293137444765,217222,2838876
4,150,10,90,7231,75,4777.293137444765,217119,2820319
5,150,10,90,7231,75,4777.293137444765,217164,2697002
1,150,10,90,7231,150,4926.346872262878,148504,2016711
2,150,10,90,7231,150,4926.322364346999,148391,1966659
3,150,10,90,7231,150,4926.353220165499,148328,1788733
4,150,10,90,7231,150,4926.353220165499,148375,1829797
5,150,10,90,7231,150,4926.346872262878,148278,1909700
1,150,10,90,7231,300,4986.558442349764,94235,1238878
2,150,10,90,7231,300,4986.5464903173115,94350,1123245
3,150,10,90,7231,300,4986.57370230261,94227,1113356
4,150,10,90,7231,300,4986.57370286619,94306,1225548
5,150,10,90,7231,300,4986.574108130655,94118,1254358
1,300,10,50,8809,75,4780.223433925961,940476,10737319
2,300,10,50,8809,75,4780.223433925961,940896,9881663
3,300,10,50,8809,75,4780.223433925961,940215,9860129
4,300,10,50,8809,75,4780.223433925961,940321,10281583
5,300,10,50,8809,75,4780.223433925961,940695,11014355
1,300,10,50,8809,150,4943.148511396902,598191,6339247
2,300,10,50,8809,150,4943.149955261761,598202,6299359
3,300,10,50,8809,150,4943.148511396902,598076,7500050
4,300,10,50,8809,150,4943.149955261761,597916,6626654
5,300,10,50,8809,150,4943.149955261761,598088,6274922
1,300,10,50,8809,300,5013.791612285676,389355,4177368
2,300,10,50,8809,300,5013.791612285676,389141,4159545
3,300,10,50,8809,300,5013.651561773249,389545,4149141
4,300,10,50,8809,300,5013.651561773249,389011,5356313
5,300,10,50,8809,300,5013.651561773249,389231,5231076
1,300,10,90,15147,75,4780.223433925961,1024579,11758182
2,300,10,90,15147,75,4780.223433925961,1024493,10752256
3,300,10,90,15147,75,4780.223433925961,1024395,10719716
4,300,10,90,15147,75,4780.223433925961,1024896,12303273
5,300,10,90,15147,75,4780.223433925961,1024755,11981812
