i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,150,10,50,4314,75,4357.575033893584,1640,18123
2,150,10,50,4314,75,4290.432240436164,1593,17548
3,150,10,50,4314,75,4284.366814477058,1562,17350
4,150,10,50,4314,75,4240.256402420606,1387,15356
5,150,10,50,4314,75,4052.360232071095,892,9775
1,150,10,50,4314,150,4642.841440947502,1358,15282
2,150,10,50,4314,150,4473.713635588634,1293,14428
3,150,10,50,4314,150,4464.093827450097,989,11205
4,150,10,50,4314,150,4255.884915214048,883,9727
5,150,10,50,4314,150,4498.660767834416,1153,12846
1,150,10,50,4314,300,4729.833478414154,878,9770
2,150,10,50,4314,300,4303.346295043168,705,7746
3,150,10,50,4314,300,4330.576263713764,757,8498
4,150,10,50,4314,300,4169.974827727499,745,8351
5,150,10,50,4314,300,4547.29182268121,806,8946
1,150,10,90,7231,75,4376.754273025347,1339,15150
2,150,10,90,7231,75,4197.982246692188,1374,15282
3,150,10,90,7231,75,3827.332596831453,1120,12376
4,150,10,90,7231,75,4118.129599939142,1527,16882
5,150,10,90,7231,75,4032.8785199299887,1785,19812
1,150,10,90,7231,150,4309.81752067332,1169,12928
2,150,10,90,7231,150,4197.878702886194,1067,11907
3,150,10,90,7231,150,4471.739941939161,1102,12297
4,150,10,90,7231,150,4421.1182515839155,988,11043
5,150,10,90,7231,150,4283.600711696713,1255,14081
1,150,10,90,7231,300,4513.356568941471,799,8971
2,150,10,90,7231,300,4151.513364768892,797,8872
3,150,10,90,7231,300,4247.744789972559,747,8309
4,150,10,90,7231,300,3876.4019806276756,835,9421
5,150,10,90,7231,300,4531.082574073932,852,9673
1,300,10,50,8809,75,4485.104135480789,3653,42028
2,300,10,50,8809,75,4378.146210108817,3071,35018
3,300,10,50,8809,75,4281.758395019057,3335,38042
4,300,10,50,8809,75,4610.385875875794,4299,49369
5,300,10,50,8809,75,3813.9668904102946,2318,26579
1,300,10,50,8809,150,4278.435061942366,1622,18780
2,300,10,50,8809,150,3823.5374084630266,2153,24857
3,300,10,50,8809,150,4246.092331459556,2277,26243
4,300,10,50,8809,150,4487.610550136492,2580,29760
5,300,10,50,8809,150,4360.951978917657,2599,29947
1,300,10,50,8809,300,4568.724249330584,1785,20759
2,300,10,50,8809,300,4599.415276040622,1664,19312
3,300,10,50,8809,300,4568.0372638940535,1719,20110
4,300,10,50,8809,300,4599.24463072551,2174,25471
5,300,10,50,8809,300,4514.360864519333,1858,21711
1,300,10,90,15147,75,4386.059495482159,3610,41691
2,300,10,90,15147,75,4577.423785457011,4891,57966
3,300,10,90,15147,75,4601.251753574122,5086,72052
4,300,10,90,15147,75,4555.252862921249,5039,70827
5,300,10,90,15147,75,4452.070012300715,4505,62989
1,300,10,90,15147,150,4359.229846078577,2905,40785
2,300,10,90,15147,150,4469.115941384306,2530,35880
3,300,10,90,15147,150,4394.822814402265,2698,37930
4,300,10,90,15147,150,4687.418182625612,3174,45096
5,300,10,90,15147,150,4178.679721091047,2347,32764
1,300,10,90,15147,300,4665.101634474119,2204,31373
2,300,10,90,15147,300,3955.659624903215,1464,20509
3,300,10,90,15147,300,4522.309510306292,1982,28131
4,300,10,90,15147,300,4618.023113915388,1996,28129
5,300,10,90,15147,300,4211.334136161197,1697,23997
