i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,10,4,8,57,5,2804.437500000015,210,1205
2,10,4,8,57,5,2804.437500000015,210,1195
3,10,4,8,57,5,2804.437500000015,210,1193
4,10,4,8,57,5,2804.437500000015,210,1199
5,10,4,8,57,5,2804.437500000015,210,1193
6,10,4,8,57,5,2804.437500000015,210,1190
7,10,4,8,57,5,2804.437500000015,210,1188
8,10,4,8,57,5,2804.437500000015,210,1197
9,10,4,8,57,5,2804.437500000015,210,1186
10,10,4,8,57,5,2804.437500000015,210,1189
1,10,4,8,57,20,3856.1304232302778,200,1168
2,10,4,8,57,20,3855.6309960661765,200,1172
3,10,4,8,57,20,3855.6309960661765,200,1181
4,10,4,8,57,20,3854.368636828499,200,1173
5,10,4,8,57,20,3856.1304232302778,200,1172
6,10,4,8,57,20,3856.1304232302778,200,1163
7,10,4,8,57,20,3855.6309960661765,200,1175
8,10,4,8,57,20,3854.368636828499,200,1170
9,10,4,8,57,20,3856.1304232302778,200,1175
10,10,4,8,57,20,3856.1304232302778,200,1186
1,10,4,8,57,30,3965.7299306839554,210,1240
2,10,4,8,57,30,3969.5343585326827,210,1246
3,10,4,8,57,30,3970.1780677256747,210,1251
4,10,4,8,57,30,3970.1780677256747,210,1244
5,10,4,8,57,30,3965.5174423582175,210,1257
6,10,4,8,57,30,3963.971643653046,210,1243
7,10,4,8,57,30,3963.971643653046,210,1247
8,10,4,8,57,30,3967.18483982341,210,1248
9,10,4,8,57,30,3969.507473657616,210,1245
10,10,4,8,57,30,3969.289057671759,210,1243
1,10,4,8,57,40,4007.574082244206,200,1194
2,10,4,8,57,40,4007.145127213225,200,1199
3,10,4,8,57,40,4000.4702314251094,200,1189
4,10,4,8,57,40,4007.689822909264,200,1197
5,10,4,8,57,40,4007.574082244206,200,1194
6,10,4,8,57,40,4007.0653347448765,200,1210
7,10,4,8,57,40,4007.689822909264,200,1213
8,10,4,8,57,40,4007.371962547088,200,1205
9,10,4,8,57,40,4007.145127213225,200,1193
10,10,4,8,57,40,4007.689822909264,200,1214
1,10,20,40,293,10,3486.458106324005,1080,6214
2,10,20,40,293,10,3486.458106324005,1080,6210
3,10,20,40,293,10,3486.458106324005,1080,6220
4,10,20,40,293,10,3486.458106324005,1080,6224
5,10,20,40,293,10,3486.458106324005,1080,6264
6,10,20,40,293,10,3486.458106324005,1080,6232
7,10,20,40,293,10,3486.458106324005,1080,6213
8,10,20,40,293,10,3486.458106324005,1080,6215
9,10,20,40,293,10,3486.458106324005,1080,6195
10,10,20,40,293,10,3486.458106324005,1080,6296
1,10,20,40,293,40,4014.5528739265874,1080,6487
2,10,20,40,293,40,4014.5528739265874,1080,6466
3,10,20,40,293,40,4014.5528739265874,1080,6490
4,10,20,40,293,40,4014.5528739265874,1080,6554
5,10,20,40,293,40,4014.5528739265874,1080,6480
6,10,20,40,293,40,4014.5528739265874,1080,6509
7,10,20,40,293,40,4014.5528739265874,1080,6494
8,10,20,40,293,40,4014.5528739265874,1080,6489
9,10,20,40,293,40,4014.5528739265874,1080,6510
10,10,20,40,293,40,4014.5528739265874,1080,6497
1,10,20,40,293,60,4048.9759709191258,1080,6591
2,10,20,40,293,60,4048.9759709191258,1080,6553
3,10,20,40,293,60,4048.9759709191258,1080,6573
4,10,20,40,293,60,4048.9759709191258,1080,6543
5,10,20,40,293,60,4048.9277707276524,1080,6567
6,10,20,40,293,60,4048.9759709191258,1080,6542
7,10,20,40,293,60,4048.9759709191258,1080,6548
8,10,20,40,293,60,4048.9759709191258,1080,6557
9,10,20,40,293,60,4048.9759709191258,1080,6556
10,10,20,40,293,60,4048.9759709191258,1080,6576
1,10,20,40,293,80,4062.222739688914,1040,6416
2,10,20,40,293,80,4062.222739688914,1040,6385
3,10,20,40,293,80,4062.199600921071,1040,6410
4,10,20,40,293,80,4062.222739688914,1040,6397
5,10,20,40,293,80,4062.222739688914,1040,6434
6,10,20,40,293,80,4062.222739688914,1040,6377
7,10,20,40,293,80,4062.222739688914,1040,6409
8,10,20,40,293,80,4062.2056981464307,1040,6426
9,10,20,40,293,80,4062.199600921071,1040,6415
10,10,20,40,293,80,4062.222739688914,1040,6397
1,10,40,80,571,10,3486.458106324005,2100,12117
2,10,40,80,571,10,3486.458106324005,2100,12170
3,10,40,80,571,10,3486.458106324005,2100,12304
4,10,40,80,571,10,3486.458106324005,2100,12367
5,10,40,80,571,10,3486.458106324005,2100,12386
6,10,40,80,571,10,3486.458106324005,2100,12335
7,10,40,80,571,10,3486.458106324005,2100,12340
8,10,40,80,571,10,3486.458106324005,2100,12165
9,10,40,80,571,10,3486.458106324005,2100,12177
10,10,40,80,571,10,3486.458106324005,2100,12078
1,10,40,80,571,40,4014.5528739265874,2080,12555
2,10,40,80,571,40,4014.5528739265874,2080,12497
3,10,40,80,571,40,4014.5528739265874,2080,12460
4,10,40,80,571,40,4014.5528739265874,2080,12493
5,10,40,80,571,40,4014.5528739265874,2080,12474
6,10,40,80,571,40,4014.5528739265874,2080,12539
7,10,40,80,571,40,4014.5528739265874,2080,12591
8,10,40,80,571,40,4014.5528739265874,2080,12515
9,10,40,80,571,40,4014.5528739265874,2080,12426
10,10,40,80,571,40,4014.5528739265874,2080,12483
1,10,40,80,571,60,4048.9759709191258,2100,12807
2,10,40,80,571,60,4048.9759709191258,2100,12838
