i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,10,4,8,57,5,2804.437500000015,1302,7584
1,10,4,8,57,20,3855.6309960661765,4522,26885
1,10,4,8,57,30,3955.408835544579,5662,34073
1,10,4,8,57,40,3984.8542595224853,6372,38547
1,10,20,40,293,10,3486.458106324005,3221,19046
1,10,20,40,293,40,4014.5528739265874,11401,68755
1,10,20,40,293,60,4048.9759709191258,14388,87615
1,10,20,40,293,80,4062.2152448948545,16143,99098
1,10,40,80,571,10,3486.458106324005,3221,19024
1,10,40,80,571,40,4014.5528739265874,11880,71677
1,10,40,80,571,60,4048.9759709191258,15510,94586
1,10,40,80,571,80,4062.2152448948545,18031,109859
1,20,4,8,123,5,2804.437500000015,5285,38977
1,20,4,8,123,20,4051.761131311866,17238,127283
1,20,4,8,123,30,4235.99568225519,21473,159392
1,20,4,8,123,40,4336.611024725243,24346,181331
1,20,20,40,659,10,3506.6738462320163,12470,91449
1,20,20,40,659,40,4336.611024725243,40707,302452
1,20,20,40,659,60,4417.050954051924,51582,387747
1,20,20,40,659,80,4450.853390033578,58900,445427
1,20,40,80,1169,10,3506.6738462320163,12470,91632
1,20,40,80,1169,40,4336.611024725243,41847,311406
1,20,40,80,1169,60,4417.050954051924,54081,406706
1,20,40,80,1169,80,4450.853390033578,63799,482981
1,50,4,8,306,10,3513.5916172480133,69958,655536
1,50,4,8,306,20,4115.173511316474,104284,974994
1,50,4,8,306,30,4349.080733000254,130925,1228913
1,50,4,8,306,40,4493.147172749084,141576,1333869
1,50,20,40,1433,10,3513.5916172480133,77263,720686
1,50,20,40,1433,40,4493.147172749084,224672,2113845
1,50,20,40,1501,60,4645.161907300316,284281,2691216
1,50,20,40,1501,80,4712.290925039141,322029,3215870
1,50,40,80,3008,10,3513.5916172480133,77263,735776
1,50,40,80,3008,40,4493.147172749084,239843,2295255
1,50,40,80,3008,60,4645.161907300316,306333,2950056
1,50,40,80,3008,80,4712.290925039141,361220,3494847
