i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,50,1,1,50,12,651.0,612,1188
2,50,1,1,50,12,666.0,612,1113
3,50,1,1,50,12,695.0,612,1071
4,50,1,1,50,12,458.0,612,1096
5,50,1,1,50,12,540.0,612,1111
6,50,1,1,50,12,495.0,612,1093
7,50,1,1,50,12,503.0,612,1101
8,50,1,1,50,12,702.0,612,1092
9,50,1,1,50,12,701.0,612,1093
10,50,1,1,50,12,601.0,612,1089
1,50,1,6,144,12,569.0,612,1087
2,50,1,6,144,12,600.0,612,1087
3,50,1,6,144,12,563.0,612,1087
4,50,1,6,144,12,590.0,612,1087
5,50,1,6,144,12,649.0,612,1086
6,50,1,6,144,12,549.0,612,1085
7,50,1,6,144,12,641.0,612,1059
8,50,1,6,144,12,611.0,612,1101
9,50,1,6,144,12,662.0,612,1086
10,50,1,6,144,12,617.0,612,1089
1,50,1,1,50,25,1395.0,1275,2258
2,50,1,1,50,25,1387.0,1275,2266
3,50,1,1,50,25,1493.0,1275,2257
4,50,1,1,50,25,1311.0,1275,2254
5,50,1,1,50,25,1342.0,1275,2235
6,50,1,1,50,25,1314.0,1275,2266
7,50,1,1,50,25,1367.0,1275,2255
8,50,1,1,50,25,1397.0,1275,2256
9,50,1,1,50,25,1538.0,1275,2263
10,50,1,1,50,25,1359.0,1275,2253
1,50,1,4,131,25,1408.0,1275,2253
2,50,1,4,131,25,1309.0,1275,2253
3,50,1,4,131,25,1224.0,1275,2228
4,50,1,4,131,25,1259.0,1275,2251
5,50,1,4,131,25,1337.0,1275,2259
6,50,1,4,131,25,1454.0,1275,2297
7,50,1,4,131,25,1180.0,1275,2283
8,50,1,4,131,25,1357.0,1275,2279
9,50,1,4,131,25,1377.0,1275,2252
10,50,1,4,131,25,1128.0,1275,2224
1,50,4,17,564,25,1335.0,1275,2251
2,50,4,17,564,25,1148.0,1275,2250
3,50,4,17,564,25,1124.0,1275,2244
4,50,4,17,564,25,1233.0,1275,2248
5,50,4,17,564,25,1280.0,1275,2246
6,50,4,17,564,25,1132.0,1275,2217
7,50,4,17,564,25,1353.0,1275,2250
8,50,4,17,564,25,1233.0,1275,2248
9,50,4,17,564,25,1320.0,1275,2249
10,50,4,17,564,25,1302.0,1275,2247
1,50,2,8,263,50,2431.0,2550,4542
2,50,2,8,263,50,2657.0,2550,4485
3,50,2,8,263,50,2255.0,2550,4526
4,50,2,8,263,50,2256.0,2550,4532
5,50,2,8,263,50,2411.0,2550,4527
6,50,2,8,263,50,2350.0,2550,4535
7,50,2,8,263,50,2458.0,2550,4538
8,50,2,8,263,50,2401.0,2550,4528
9,50,2,8,263,50,2259.0,2550,4601
10,50,2,8,263,50,2485.0,2550,4519
1,50,8,35,1084,50,2569.0,2550,4528
2,50,8,35,1084,50,1954.0,2550,4531
3,50,8,35,1084,50,2104.0,2550,4504
4,50,8,35,1084,50,2066.0,2550,4553
5,50,8,35,1084,50,2248.0,2550,4527
6,50,8,35,1084,50,2375.0,2550,4530
7,50,8,35,1084,50,2410.0,2550,4527
8,50,8,35,1084,50,1998.0,2550,4527
9,50,8,35,1084,50,2050.0,2550,4509
10,50,8,35,1084,50,1924.0,2550,4513
1,50,3,12,358,75,4566.0,3825,6817
2,50,3,12,358,75,4148.0,3825,6841
3,50,3,12,358,75,4563.0,3825,6868
4,50,3,12,358,75,4332.0,3825,6776
5,50,3,12,358,75,4520.0,3825,6834
6,50,3,12,358,75,4436.0,3825,6818
7,50,3,12,358,75,4435.0,3825,6808
8,50,3,12,358,75,4526.0,3825,6818
9,50,3,12,358,75,4597.0,3825,6792
10,50,3,12,358,75,4309.0,3825,6819
1,50,13,53,1686,75,3867.0,3825,6849
2,50,13,53,1686,75,3987.0,3825,6858
3,50,13,53,1686,75,3548.0,3825,6881
4,50,13,53,1686,75,3737.0,3825,6866
5,50,13,53,1686,75,3794.0,3825,6850
6,50,13,53,1686,75,3878.0,3825,6843
7,50,13,53,1686,75,4007.0,3825,6815
8,50,13,53,1686,75,3704.0,3825,6845
9,50,13,53,1686,75,3803.0,3825,6847
10,50,13,53,1686,75,3914.0,3825,6829
1,100,1,1,100,25,1031.0,2525,4413
2,100,1,1,100,25,1074.0,2525,4399
3,100,1,1,100,25,1106.0,2525,4466
4,100,1,1,100,25,1102.0,2525,4447
5,100,1,1,100,25,1044.0,2525,4435
6,100,1,1,100,25,1427.0,2525,4631
7,100,1,1,100,25,1202.0,2525,4561
8,100,1,1,100,25,1311.0,2525,4412
9,100,1,1,100,25,1212.0,2525,4399
10,100,1,1,100,25,1392.0,2525,4397
1,100,1,4,253,25,1134.0,2525,4411
2,100,1,4,253,25,1286.0,2525,4421
3,100,1,4,253,25,1269.0,2525,4414
4,100,1,4,253,25,1345.0,2525,4398
5,100,1,4,253,25,1213.0,2525,4413
6,100,1,4,253,25,1126.0,2525,4403
7,100,1,4,253,25,1571.0,2525,4425
8,100,1,4,253,25,1060.0,2525,4399
9,100,1,4,253,25,1378.0,2525,4428
10,100,1,4,253,25,1174.0,2525,4405
1,100,4,17,1006,25,1808.0,2525,4409
2,100,4,17,1006,25,1277.0,2525,4410
3,100,4,17,1006,25,1411.0,2525,4378
4,100,4,17,1006,25,1170.0,2525,4394
5,100,4,17,1006,25,1488.0,2525,4403
6,100,4,17,1006,25,1523.0,2525,4418
7,100,4,17,1006,25,1352.0,2525,4405
8,100,4,17,1006,25,1422.0,2525,4431
9,100,4,17,1006,25,1434.0,2525,4404
10,100,4,17,1006,25,1446.0,2525,4401
1,100,1,1,100,50,2607.0,5050,8839
2,100,1,1,100,50,2482.0,5050,8861
3,100,1,1,100,50,2401.0,5050,8836
4,100,1,1,100,50,2291.0,5050,8834
5,100,1,1,100,50,2486.0,5050,8841
6,100,1,1,100,50,2345.0,5050,8835
7,100,1,1,100,50,2326.0,5050,8894
8,100,1,1,100,50,2130.0,5050,8848
9,100,1,1,100,50,2301.0,5050,8850
10,100,1,1,100,50,2383.0,5050,8875
1,100,2,8,515,50,2346.0,5050,8820
2,100,2,8,515,50,2389.0,5050,8856
3,100,2,8,515,50,2641.0,5050,8838
4,100,2,8,515,50,2473.0,5050,8855
5,100,2,8,515,50,2422.0,5050,8854
6,100,2,8,515,50,2399.0,5050,8838
7,100,2,8,515,50,2298.0,5050,8836
8,100,2,8,515,50,2276.0,5050,8912
9,100,2,8,515,50,2345.0,5050,8815
10,100,2,8,515,50,2338.0,5050,8833
1,100,8,35,2129,50,2529.0,5050,8843
2,100,8,35,2129,50,2369.0,5050,8817
3,100,8,35,2129,50,2585.0,5050,8852
4,100,8,35,2129,50,2396.0,5050,8824
5,100,8,35,2129,50,2470.0,5050,8826
6,100,8,35,2129,50,2492.0,5050,8810
7,100,8,35,2129,50,2406.0,5050,8854
8,100,8,35,2129,50,2546.0,5050,8884
9,100,8,35,2129,50,2692.0,5050,8834
10,100,8,35,2129,50,2842.0,5050,8844
1,100,5,20,1228,100,4690.0,10100,17809
2,100,5,20,1228,100,5634.0,10100,17790
3,100,5,20,1228,100,4972.0,10100,17847
4,100,5,20,1228,100,5056.0,10100,17809
5,100,5,20,1228,100,4855.0,10100,17797
6,100,5,20,1228,100,4813.0,10100,17809
7,100,5,20,1228,100,4504.0,10100,17883
8,100,5,20,1228,100,5049.0,10100,17868
9,100,5,20,1228,100,4824.0,10100,17816
10,100,5,20,1228,100,4895.0,10100,17828
1,100,18,74,4827,100,4731.0,10100,17788
2,100,18,74,4827,100,5438.0,10100,17882
3,100,18,74,4827,100,5479.0,10100,17810
4,100,18,74,4827,100,5310.0,10100,17814
5,100,18,74,4827,100,5400.0,10100,17832
6,100,18,74,4827,100,5049.0,10100,17883
7,100,18,74,4827,100,4863.0,10100,17786
8,100,18,74,4827,100,5239.0,10100,17786
9,100,18,74,4827,100,5452.0,10100,17838
10,100,18,74,4827,100,5186.0,10100,17761
1,100,7,28,1780,150,7036.0,15150,26834
2,100,7,28,1780,150,7434.0,15150,26965
3,100,7,28,1780,150,7238.0,15150,26895
4,100,7,28,1780,150,7052.0,15150,26839
5,100,7,28,1780,150,6965.0,15150,26980
6,100,7,28,1780,150,6970.0,15150,26916
7,100,7,28,1780,150,7189.0,15150,26884
8,100,7,28,1780,150,7554.0,15150,26882
9,100,7,28,1780,150,7177.0,15150,26842
10,100,7,28,1780,150,7207.0,15150,26848
1,100,27,109,6708,150,7215.0,15150,26844
2,100,27,109,6708,150,8130.0,15150,26896
3,100,27,109,6708,150,8420.0,15150,26790
4,100,27,109,6708,150,7462.0,15150,26892
5,100,27,109,6708,150,7749.0,15150,26812
6,100,27,109,6708,150,7430.0,15150,26908
7,100,27,109,6708,150,7474.0,15150,26875
8,100,27,109,6708,150,7384.0,15150,26869
9,100,27,109,6708,150,7873.0,15150,26815
10,100,27,109,6708,150,7513.0,15150,26877
1,250,1,1,250,62,3377.0,15562,27688
2,250,1,1,250,62,2912.0,15562,27608
