i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,100,1,1,100,25,2155.0,522,12
2,100,1,1,100,25,2163.0,522,10
3,100,1,1,100,25,2147.0,522,10
4,100,1,1,100,25,2130.0,522,10
5,100,1,1,100,25,2170.0,522,10
1,100,1,4,262,25,2279.0,484,9
2,100,1,4,262,25,2296.0,492,9
3,100,1,4,262,25,2263.0,488,9
4,100,1,4,262,25,2303.0,488,9
5,100,1,4,262,25,2221.0,483,9
1,100,3,12,775,25,2261.0,500,9
2,100,3,12,775,25,2265.0,500,9
3,100,3,12,775,25,2243.0,500,9
4,100,3,12,775,25,2230.0,500,9
5,100,3,12,775,25,2262.0,500,9
1,100,5,21,1270,25,2421.0,500,9
2,100,5,21,1270,25,2390.0,500,9
3,100,5,21,1270,25,2380.0,500,9
4,100,5,21,1270,25,2408.0,500,9
5,100,5,21,1270,25,2382.0,500,9
1,100,1,1,100,50,3600.0,514,10
2,100,1,1,100,50,3586.0,514,10
3,100,1,1,100,50,3595.0,514,10
4,100,1,1,100,50,3600.0,514,10
5,100,1,1,100,50,3576.0,514,10
1,100,2,8,473,50,4556.0,520,10
2,100,2,8,473,50,4632.0,529,10
3,100,2,8,473,50,4522.0,527,10
4,100,2,8,473,50,4548.0,526,10
5,100,2,8,473,50,4478.0,518,10
1,100,6,26,1542,50,4073.0,500,9
2,100,6,26,1542,50,4138.0,500,9
3,100,6,26,1542,50,4182.0,500,9
4,100,6,26,1542,50,4247.0,500,9
5,100,6,26,1542,50,4258.0,500,9
1,100,11,44,2911,50,4293.0,500,9
2,100,11,44,2911,50,4341.0,500,9
3,100,11,44,2911,50,4358.0,500,10
4,100,11,44,2911,50,4319.0,500,9
5,100,11,44,2911,50,4268.0,500,9
1,100,5,20,1298,100,8013.0,500,10
2,100,5,20,1298,100,8047.0,500,10
3,100,5,20,1298,100,8142.0,500,10
4,100,5,20,1298,100,8218.0,500,10
5,100,5,20,1298,100,8115.0,500,10
1,100,14,56,3466,100,8377.0,500,10
2,100,14,56,3466,100,8468.0,500,10
3,100,14,56,3466,100,8290.0,500,10
4,100,14,56,3466,100,8271.0,500,10
5,100,14,56,3466,100,8344.0,500,10
1,100,23,92,5665,100,8290.0,500,10
2,100,23,92,5665,100,8241.0,500,10
3,100,23,92,5665,100,8179.0,500,10
4,100,23,92,5665,100,8254.0,500,10
5,100,23,92,5665,100,8342.0,500,10
1,100,10,40,2627,200,13843.0,400,9
2,100,10,40,2627,200,13677.0,400,9
3,100,10,40,2627,200,13912.0,400,9
4,100,10,40,2627,200,13779.0,400,9
