i,n,b_low,b_high,r,approx,n_calls,time_ms
1,50,1,1,12,1099.0,528,12
2,50,1,1,12,1099.0,528,11
3,50,1,1,12,1067.0,528,10
4,50,1,1,12,1081.0,528,10
5,50,1,1,12,1092.0,528,10
6,50,1,1,12,1085.0,528,10
7,50,1,1,12,1092.0,528,10
8,50,1,1,12,1099.0,528,10
9,50,1,1,12,1088.0,528,10
10,50,1,1,12,1079.0,528,10
11,50,1,1,12,1092.0,528,10
12,50,1,1,12,1092.0,528,10
13,50,1,1,12,1074.0,528,10
14,50,1,1,12,1087.0,528,10
15,50,1,1,12,1088.0,528,10
16,50,1,1,12,1099.0,528,10
17,50,1,1,12,1099.0,528,10
18,50,1,1,12,1099.0,528,10
19,50,1,1,12,1087.0,528,10
20,50,1,1,12,1099.0,528,10
21,50,1,1,12,1099.0,528,10
22,50,1,1,12,1099.0,528,10
23,50,1,1,12,1099.0,528,10
24,50,1,1,12,1099.0,528,10
25,50,1,1,12,1087.0,528,10
26,50,1,1,12,1091.0,528,10
27,50,1,1,12,1092.0,528,10
28,50,1,1,12,1099.0,528,10
29,50,1,1,12,1088.0,528,10
30,50,1,1,12,1099.0,528,10
31,50,1,1,12,1088.0,528,10
32,50,1,1,12,1092.0,528,10
33,50,1,1,12,1099.0,528,10
34,50,1,1,12,1092.0,528,10
35,50,1,1,12,1099.0,528,10
36,50,1,1,12,1099.0,528,10
37,50,1,1,12,1088.0,528,10
38,50,1,1,12,1088.0,528,10
39,50,1,1,12,1099.0,528,10
40,50,1,1,12,1092.0,528,10
41,50,1,1,12,1092.0,528,10
42,50,1,1,12,1084.0,528,10
43,50,1,1,12,1099.0,528,10
44,50,1,1,12,1088.0,528,10
45,50,1,1,12,1099.0,528,10
46,50,1,1,12,1099.0,528,10
47,50,1,1,12,1091.0,528,10
48,50,1,1,12,1099.0,528,10
49,50,1,1,12,1091.0,528,10
50,50,1,1,12,1088.0,528,10
51,50,1,1,12,1091.0,528,10
52,50,1,1,12,1099.0,528,10
53,50,1,1,12,1099.0,528,10
54,50,1,1,12,1087.0,528,10
55,50,1,1,12,1099.0,528,10
56,50,1,1,12,1080.0,528,10
57,50,1,1,12,1092.0,528,10
58,50,1,1,12,1088.0,528,10
59,50,1,1,12,1099.0,528,10
60,50,1,1,12,1087.0,528,10
61,50,1,1,12,1099.0,528,10
62,50,1,1,12,1092.0,528,10
63,50,1,1,12,1092.0,528,9
64,50,1,1,12,1084.0,528,9
65,50,1,1,12,1088.0,528,9
66,50,1,1,12,1081.0,528,9
67,50,1,1,12,1089.0,528,9
68,50,1,1,12,1099.0,528,9
69,50,1,1,12,1080.0,528,9
70,50,1,1,12,1092.0,528,9
71,50,1,1,12,1087.0,528,9
72,50,1,1,12,1099.0,528,9
73,50,1,1,12,1088.0,528,9
74,50,1,1,12,1091.0,528,9
75,50,1,1,12,1088.0,528,9
76,50,1,1,12,1087.0,528,9
77,50,1,1,12,1091.0,528,9
78,50,1,1,12,1099.0,528,9
79,50,1,1,12,1092.0,528,9
80,50,1,1,12,1087.0,528,9
81,50,1,1,12,1099.0,528,9
82,50,1,1,12,1099.0,528,9
83,50,1,1,12,1092.0,528,9
84,50,1,1,12,1092.0,528,9
85,50,1,1,12,1099.0,528,9
86,50,1,1,12,1089.0,528,9
87,50,1,1,12,1099.0,528,9
88,50,1,1,12,1099.0,528,9
89,50,1,1,12,1099.0,528,9
90,50,1,1,12,1091.0,528,9
91,50,1,1,12,1087.0,528,9
92,50,1,1,12,1091.0,528,9
93,50,1,1,12,1099.0,528,9
94,50,1,1,12,1091.0,528,9
95,50,1,1,12,1099.0,528,9
96,50,1,1,12,1099.0,528,9
97,50,1,1,12,1092.0,528,9
98,50,1,1,12,1099.0,528,9
99,50,1,1,12,1099.0,528,9
100,50,1,1,12,1075.0,528,9
1,50,1,6,12,1020.0,209,3
2,50,1,6,12,1140.0,201,3
3,50,1,6,12,876.0,227,3
4,50,1,6,12,1094.0,273,4
5,50,1,6,12,1145.0,258,4
6,50,1,6,12,1088.0,250,4
7,50,1,6,12,1054.0,260,4
8,50,1,6,12,1025.0,256,4
9,50,1,6,12,1140.0,221,3
10,50,1,6,12,1068.0,211,3
11,50,1,6,12,1088.0,246,4
12,50,1,6,12,1088.0,250,4
13,50,1,6,12,1068.0,214,3
14,50,1,6,12,1140.0,204,3
15,50,1,6,12,1101.0,254,4
16,50,1,6,12,1140.0,220,3
17,50,1,6,12,1140.0,208,3
18,50,1,6,12,973.0,250,4
19,50,1,6,12,1105.0,244,4
20,50,1,6,12,1033.0,248,4
21,50,1,6,12,1068.0,204,3
22,50,1,6,12,1040.0,254,4
23,50,1,6,12,1140.0,219,3
24,50,1,6,12,1068.0,214,3
25,50,1,6,12,1140.0,216,3
26,50,1,6,12,1140.0,193,3
27,50,1,6,12,1068.0,218,3
28,50,1,6,12,1068.0,205,3
29,50,1,6,12,1020.0,212,3
30,50,1,6,12,1041.0,250,4
31,50,1,6,12,1140.0,202,3
32,50,1,6,12,1105.0,254,4
33,50,1,6,12,1068.0,219,3
34,50,1,6,12,1068.0,205,3
35,50,1,6,12,1028.0,243,4
36,50,1,6,12,1089.0,241,4
37,50,1,6,12,1068.0,197,3
38,50,1,6,12,1088.0,254,4
39,50,1,6,12,1105.0,254,4
40,50,1,6,12,1149.0,251,4
41,50,1,6,12,1148.0,260,4
42,50,1,6,12,1068.0,206,3
43,50,1,6,12,1148.0,252,4
44,50,1,6,12,1089.0,257,4
45,50,1,6,12,1145.0,240,4
46,50,1,6,12,1020.0,200,3
47,50,1,6,12,1140.0,200,3
48,50,1,6,12,1140.0,206,3
49,50,1,6,12,1089.0,249,4
50,50,1,6,12,973.0,254,4
51,50,1,6,12,1140.0,215,3
52,50,1,6,12,1140.0,226,3
53,50,1,6,12,1140.0,216,3
54,50,1,6,12,1105.0,233,3
55,50,1,6,12,1089.0,251,4
56,50,1,6,12,1140.0,213,3
57,50,1,6,12,1068.0,210,3
58,50,1,6,12,1068.0,212,3
59,50,1,6,12,1148.0,245,4
60,50,1,6,12,1140.0,214,3
61,50,1,6,12,1140.0,204,3
62,50,1,6,12,1068.0,204,3
63,50,1,6,12,1140.0,220,3
64,50,1,6,12,1028.0,263,4
65,50,1,6,12,1020.0,208,3
66,50,1,6,12,1068.0,222,3
67,50,1,6,12,1089.0,255,4
68,50,1,6,12,1010.0,248,4
69,50,1,6,12,1140.0,218,3
70,50,1,6,12,1068.0,203,3
71,50,1,6,12,1068.0,202,3
72,50,1,6,12,1088.0,246,4
73,50,1,6,12,1020.0,205,3
74,50,1,6,12,1101.0,248,4
75,50,1,6,12,1140.0,199,3
76,50,1,6,12,1140.0,221,3
77,50,1,6,12,1020.0,213,3
78,50,1,6,12,1068.0,204,3
79,50,1,6,12,1148.0,255,4
80,50,1,6,12,1140.0,216,3
81,50,1,6,12,1140.0,212,3
82,50,1,6,12,1089.0,248,4
83,50,1,6,12,1140.0,218,3
84,50,1,6,12,1020.0,203,3
85,50,1,6,12,1068.0,204,3
86,50,1,6,12,1020.0,203,3
87,50,1,6,12,1105.0,251,4
88,50,1,6,12,1140.0,208,3
89,50,1,6,12,1068.0,206,3
90,50,1,6,12,1033.0,255,4
91,50,1,6,12,1140.0,211,3
92,50,1,6,12,1101.0,245,4
93,50,1,6,12,1149.0,245,4
94,50,1,6,12,1068.0,201,3
95,50,1,6,12,1086.0,251,4
96,50,1,6,12,1145.0,252,4
97,50,1,6,12,1105.0,248,4
98,50,1,6,12,1068.0,213,3
99,50,1,6,12,1050.0,254,4
100,50,1,6,12,1068.0,199,3
1,50,1,1,25,1771.0,500,9
2,50,1,1,25,1763.0,500,9
3,50,1,1,25,1740.0,500,9
4,50,1,1,25,1774.0,500,9
5,50,1,1,25,1760.0,500,9
6,50,1,1,25,1774.0,500,9
7,50,1,1,25,1751.0,500,9
8,50,1,1,25,1763.0,500,9
9,50,1,1,25,1768.0,500,9
10,50,1,1,25,1754.0,500,9
11,50,1,1,25,1764.0,500,9
12,50,1,1,25,1771.0,500,9
13,50,1,1,25,1766.0,500,9
14,50,1,1,25,1750.0,500,9
15,50,1,1,25,1774.0,500,9
16,50,1,1,25,1774.0,500,9
17,50,1,1,25,1764.0,500,9
18,50,1,1,25,1763.0,500,9
19,50,1,1,25,1769.0,500,9
20,50,1,1,25,1771.0,500,9
21,50,1,1,25,1764.0,500,9
22,50,1,1,25,1774.0,500,9
23,50,1,1,25,1769.0,500,9
24,50,1,1,25,1761.0,500,9
25,50,1,1,25,1769.0,500,9
26,50,1,1,25,1769.0,500,9
27,50,1,1,25,1722.0,500,9
28,50,1,1,25,1763.0,500,9
29,50,1,1,25,1771.0,500,9
30,50,1,1,25,1757.0,500,9
31,50,1,1,25,1745.0,500,9
32,50,1,1,25,1769.0,500,9
33,50,1,1,25,1771.0,500,9
34,50,1,1,25,1743.0,500,9
35,50,1,1,25,1757.0,500,9
36,50,1,1,25,1763.0,500,9
37,50,1,1,25,1766.0,500,9
38,50,1,1,25,1754.0,500,9
39,50,1,1,25,1764.0,500,9
40,50,1,1,25,1746.0,500,9
41,50,1,1,25,1774.0,500,9
42,50,1,1,25,1771.0,500,10
43,50,1,1,25,1774.0,500,9
44,50,1,1,25,1767.0,500,9
45,50,1,1,25,1769.0,500,9
46,50,1,1,25,1757.0,500,9
47,50,1,1,25,1757.0,500,9
48,50,1,1,25,1769.0,500,9
49,50,1,1,25,1735.0,500,9
50,50,1,1,25,1767.0,500,9
51,50,1,1,25,1772.0,500,9
52,50,1,1,25,1737.0,500,9
53,50,1,1,25,1771.0,500,9
54,50,1,1,25,1762.0,500,9
55,50,1,1,25,1766.0,500,9
56,50,1,1,25,1774.0,500,9
57,50,1,1,25,1766.0,500,9
58,50,1,1,25,1769.0,500,9
59,50,1,1,25,1761.0,500,9
60,50,1,1,25,1753.0,500,9
61,50,1,1,25,1774.0,500,9
62,50,1,1,25,1774.0,500,9
63,50,1,1,25,1769.0,500,9
64,50,1,1,25,1769.0,500,9
65,50,1,1,25,1772.0,500,9
66,50,1,1,25,1774.0,500,9
67,50,1,1,25,1764.0,500,9
68,50,1,1,25,1754.0,500,9
69,50,1,1,25,1771.0,500,9
70,50,1,1,25,1761.0,500,9
71,50,1,1,25,1761.0,500,9
72,50,1,1,25,1769.0,500,9
73,50,1,1,25,1769.0,500,9
74,50,1,1,25,1761.0,500,9
75,50,1,1,25,1749.0,500,9
76,50,1,1,25,1774.0,500,9
77,50,1,1,25,1769.0,500,9
78,50,1,1,25,1766.0,500,9
79,50,1,1,25,1771.0,500,9
80,50,1,1,25,1774.0,500,9
81,50,1,1,25,1757.0,500,9
82,50,1,1,25,1764.0,500,9
83,50,1,1,25,1766.0,500,9
84,50,1,1,25,1725.0,500,9
85,50,1,1,25,1774.0,500,9
86,50,1,1,25,1743.0,500,9
87,50,1,1,25,1772.0,500,9
88,50,1,1,25,1761.0,500,9
89,50,1,1,25,1774.0,500,9
90,50,1,1,25,1769.0,500,9
91,50,1,1,25,1747.0,500,9
92,50,1,1,25,1774.0,500,9
93,50,1,1,25,1774.0,500,9
94,50,1,1,25,1758.0,500,9
95,50,1,1,25,1771.0,500,9
96,50,1,1,25,1742.0,500,9
97,50,1,1,25,1774.0,500,9
98,50,1,1,25,1774.0,500,9
99,50,1,1,25,1761.0,500,9
100,50,1,1,25,1772.0,500,9
1,50,1,4,25,1811.0,304,5
2,50,1,4,25,1803.0,263,4
3,50,1,4,25,1854.0,278,4
4,50,1,4,25,1639.0,239,4
5,50,1,4,25,1791.0,277,4
6,50,1,4,25,1737.0,271,4
7,50,1,4,25,1789.0,264,4
8,50,1,4,25,1841.0,263,4
