i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,100,1,1,100,25,2155.0,522,13
2,100,1,1,100,25,2163.0,522,13
3,100,1,1,100,25,2147.0,522,13
4,100,1,1,100,25,2130.0,522,13
5,100,1,1,100,25,2170.0,522,13
1,100,1,4,262,25,2119.0,146,3
2,100,1,4,262,25,2240.0,146,3
3,100,1,4,262,25,2179.0,146,3
4,100,1,4,262,25,2269.0,146,3
5,100,1,4,262,25,2111.0,146,3
1,100,3,12,775,25,2135.0,69,1
2,100,3,12,775,25,2168.0,69,1
3,100,3,12,775,25,2111.0,69,1
4,100,3,12,775,25,2318.0,69,1
5,100,3,12,775,25,1943.0,69,1
1,100,5,21,1270,25,2475.0,46,1
2,100,5,21,1270,25,2450.0,46,1
3,100,5,21,1270,25,2475.0,46,1
4,100,5,21,1270,25,2223.0,46,1
5,100,5,21,1270,25,2223.0,46,1
1,100,1,1,100,50,3607.0,514,13
2,100,1,1,100,50,3601.0,514,13
3,100,1,1,100,50,3600.0,514,13
4,100,1,1,100,50,3615.0,514,13
5,100,1,1,100,50,3578.0,514,13
1,100,2,8,473,50,4340.0,77,2
2,100,2,8,473,50,4360.0,77,2
3,100,2,8,473,50,4314.0,77,2
4,100,2,8,473,50,4298.0,88,2
5,100,2,8,473,50,4538.0,88,2
1,100,6,26,1542,50,4248.0,33,0
2,100,6,26,1542,50,4404.0,33,0
3,100,6,26,1542,50,4557.0,33,0
4,100,6,26,1542,50,4041.0,33,0
5,100,6,26,1542,50,4427.0,33,0
1,100,11,44,2911,50,4789.0,22,0
2,100,11,44,2911,50,4875.0,22,0
3,100,11,44,2911,50,4632.0,22,0
4,100,11,44,2911,50,4510.0,22,0
5,100,11,44,2911,50,3588.0,22,0
1,100,5,20,1298,100,7042.0,30,0
2,100,5,20,1298,100,8001.0,35,1
3,100,5,20,1298,100,9029.0,30,0
4,100,5,20,1298,100,7654.0,30,0
5,100,5,20,1298,100,7949.0,35,1
1,100,14,56,3466,100,7159.0,15,0
2,100,14,56,3466,100,7400.0,10,0
3,100,14,56,3466,100,7730.0,15,0
4,100,14,56,3466,100,7600.0,15,0
5,100,14,56,3466,100,5565.0,10,0
1,100,23,92,5665,100,7412.0,10,0
2,100,23,92,5665,100,9500.0,10,0
3,100,23,92,5665,100,6427.0,15,0
4,100,23,92,5665,100,5994.0,10,0
5,100,23,92,5665,100,9304.0,10,0
1,100,10,40,2627,200,11007.0,18,0
2,100,10,40,2627,200,12771.0,16,0
3,100,10,40,2627,200,14189.0,18,0
4,100,10,40,2627,200,14506.0,16,0
5,100,10,40,2627,200,11999.0,14,0
1,100,28,112,7123,200,16936.0,6,0
2,100,28,112,7123,200,7709.0,6,0
3,100,28,112,7123,200,11356.0,4,0
4,100,28,112,7123,200,10276.0,6,0
5,100,28,112,7123,200,5878.0,6,0
1,100,46,184,11340,200,6520.0,4,0
2,100,46,184,11340,200,15952.0,6,0
3,100,46,184,11340,200,15600.0,4,0
4,100,46,184,11340,200,16377.0,4,0
5,100,46,184,11340,200,9385.0,4,0
1,200,1,1,200,50,4382.0,1213,37
2,200,1,1,200,50,4315.0,1213,37
3,200,1,1,200,50,4353.0,1213,37
4,200,1,1,200,50,4360.0,1213,37
5,200,1,1,200,50,4373.0,1213,37
1,200,2,8,999,50,4080.0,182,5
