i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,50,1,1,50,12,1099.0,1305,43
2,50,1,1,50,12,1099.0,1345,43
3,50,1,1,50,12,1099.0,1344,43
4,50,1,1,50,12,1099.0,1334,43
5,50,1,1,50,12,1099.0,1311,42
6,50,1,1,50,12,1099.0,1328,42
7,50,1,1,50,12,1099.0,1349,42
8,50,1,1,50,12,1099.0,1319,42
9,50,1,1,50,12,1099.0,1334,43
10,50,1,1,50,12,1099.0,1341,42
1,50,1,6,144,12,1125.0,1275,22
2,50,1,6,144,12,1125.0,1237,22
3,50,1,6,144,12,1125.0,1207,21
4,50,1,6,144,12,1125.0,1287,23
5,50,1,6,144,12,1125.0,1269,22
6,50,1,6,144,12,1125.0,1283,23
7,50,1,6,144,12,1125.0,1268,22
8,50,1,6,144,12,1125.0,1276,23
9,50,1,6,144,12,1125.0,1201,21
10,50,1,6,144,12,1125.0,1255,22
1,50,1,1,50,25,1965.0,3700,135
2,50,1,1,50,25,1965.0,3701,125
3,50,1,1,50,25,1965.0,3688,124
4,50,1,1,50,25,1965.0,3700,124
5,50,1,1,50,25,1965.0,3730,126
6,50,1,1,50,25,1965.0,3717,125
7,50,1,1,50,25,1965.0,3692,125
8,50,1,1,50,25,1965.0,3704,126
9,50,1,1,50,25,1965.0,3690,124
10,50,1,1,50,25,1965.0,3701,125
1,50,1,4,131,25,2295.0,4315,80
2,50,1,4,131,25,2295.0,4353,81
3,50,1,4,131,25,2295.0,4310,80
4,50,1,4,131,25,2295.0,4364,81
5,50,1,4,131,25,2295.0,4351,81
6,50,1,4,131,25,2295.0,4350,81
7,50,1,4,131,25,2295.0,4353,81
8,50,1,4,131,25,2295.0,4346,82
9,50,1,4,131,25,2295.0,4333,80
10,50,1,4,131,25,2295.0,4307,79
1,50,4,17,564,25,2427.0,992,13
2,50,4,17,564,25,2427.0,952,12
3,50,4,17,564,25,2427.0,955,13
4,50,4,17,564,25,2427.0,945,12
5,50,4,17,564,25,2427.0,989,12
6,50,4,17,564,25,2427.0,1035,13
7,50,4,17,564,25,2427.0,988,12
8,50,4,17,564,25,2427.0,1099,13
9,50,4,17,564,25,2427.0,1001,12
10,50,4,17,564,25,2427.0,917,12
1,50,2,8,263,50,4196.0,6113,85
2,50,2,8,263,50,4196.0,6098,84
3,50,2,8,263,50,4196.0,6195,86
4,50,2,8,263,50,4196.0,6122,86
5,50,2,8,263,50,4196.0,6117,85
6,50,2,8,263,50,4196.0,6228,87
7,50,2,8,263,50,4196.0,6108,85
8,50,2,8,263,50,4196.0,6082,84
9,50,2,8,263,50,4196.0,6060,84
10,50,2,8,263,50,4196.0,6180,86
1,50,8,35,1084,50,4538.0,5364,53
2,50,8,35,1084,50,4538.0,5244,51
3,50,8,35,1084,50,4538.0,5289,52
4,50,8,35,1084,50,4538.0,5293,53
5,50,8,35,1084,50,4538.0,5420,53
6,50,8,35,1084,50,4538.0,5447,53
7,50,8,35,1084,50,4538.0,5297,52
8,50,8,35,1084,50,4538.0,5434,53
9,50,8,35,1084,50,4538.0,5259,51
10,50,8,35,1084,50,4538.0,5349,52
1,50,3,12,358,75,7150.0,2461,32
2,50,3,12,358,75,7150.0,2487,32
3,50,3,12,358,75,7150.0,2448,31
4,50,3,12,358,75,7150.0,2373,30
5,50,3,12,358,75,7150.0,2410,31
6,50,3,12,358,75,7150.0,2367,30
7,50,3,12,358,75,7150.0,2347,30
8,50,3,12,358,75,7150.0,2461,31
9,50,3,12,358,75,7150.0,2434,31
10,50,3,12,358,75,7150.0,2408,31
1,50,13,53,1686,75,7343.0,1505,16
2,50,13,53,1686,75,7343.0,1624,17
3,50,13,53,1686,75,7343.0,1557,16
4,50,13,53,1686,75,7343.0,1683,17
5,50,13,53,1686,75,7343.0,1672,17
6,50,13,53,1686,75,7343.0,1473,15
7,50,13,53,1686,75,7343.0,1537,15
8,50,13,53,1686,75,7343.0,1457,15
9,50,13,53,1686,75,7343.0,1612,16
10,50,13,53,1686,75,7343.0,1521,15
1,100,1,1,100,25,2190.0,8475,277
2,100,1,1,100,25,2190.0,8538,278
3,100,1,1,100,25,2190.0,8475,278
4,100,1,1,100,25,2190.0,8498,276
5,100,1,1,100,25,2190.0,8480,275
6,100,1,1,100,25,2190.0,8489,274
7,100,1,1,100,25,2190.0,8495,275
8,100,1,1,100,25,2190.0,8546,277
9,100,1,1,100,25,2190.0,8533,276
10,100,1,1,100,25,2190.0,8487,276
1,100,1,4,253,25,2362.0,5142,89
2,100,1,4,253,25,2362.0,5297,92
3,100,1,4,253,25,2362.0,5231,91
4,100,1,4,253,25,2362.0,5324,93
5,100,1,4,253,25,2362.0,5284,92
6,100,1,4,253,25,2362.0,5294,92
7,100,1,4,253,25,2362.0,5192,91
8,100,1,4,253,25,2362.0,5331,93
9,100,1,4,253,25,2362.0,5291,93
10,100,1,4,253,25,2362.0,5268,92
1,100,4,17,1006,25,2475.0,162,2
2,100,4,17,1006,25,2475.0,411,5
3,100,4,17,1006,25,2475.0,149,2
4,100,4,17,1006,25,2475.0,371,5
5,100,4,17,1006,25,2475.0,420,5
6,100,4,17,1006,25,2475.0,282,4
