i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,50,1,1,50,12,1099.0,1311,43
2,50,1,1,50,12,1099.0,1348,42
3,50,1,1,50,12,1099.0,1346,42
4,50,1,1,50,12,1099.0,1345,42
5,50,1,1,50,12,1099.0,1327,41
6,50,1,1,50,12,1099.0,1345,42
7,50,1,1,50,12,1099.0,1351,42
8,50,1,1,50,12,1099.0,1329,41
9,50,1,1,50,12,1099.0,1347,42
10,50,1,1,50,12,1099.0,1346,42
1,50,1,6,144,12,1125.0,1291,22
2,50,1,6,144,12,1125.0,1255,21
3,50,1,6,144,12,1125.0,1211,20
4,50,1,6,144,12,1125.0,1293,22
5,50,1,6,144,12,1125.0,1289,22
6,50,1,6,144,12,1125.0,1283,22
7,50,1,6,144,12,1125.0,1286,22
8,50,1,6,144,12,1125.0,1282,22
9,50,1,6,144,12,1125.0,1213,20
10,50,1,6,144,12,1125.0,1289,22
1,50,1,1,50,25,1965.0,3706,136
2,50,1,1,50,25,1965.0,3706,127
3,50,1,1,50,25,1965.0,3689,123
4,50,1,1,50,25,1965.0,3701,124
5,50,1,1,50,25,1965.0,3732,125
6,50,1,1,50,25,1965.0,3722,124
7,50,1,1,50,25,1965.0,3693,122
8,50,1,1,50,25,1965.0,3707,124
9,50,1,1,50,25,1965.0,3693,122
10,50,1,1,50,25,1965.0,3705,123
1,50,1,4,131,25,2295.0,4325,79
2,50,1,4,131,25,2295.0,4358,80
3,50,1,4,131,25,2295.0,4312,79
4,50,1,4,131,25,2295.0,4367,80
5,50,1,4,131,25,2295.0,4361,80
6,50,1,4,131,25,2295.0,4353,79
7,50,1,4,131,25,2295.0,4356,80
8,50,1,4,131,25,2295.0,4348,80
9,50,1,4,131,25,2295.0,4338,79
10,50,1,4,131,25,2295.0,4313,79
1,50,4,17,564,25,2427.0,1011,13
2,50,4,17,564,25,2427.0,976,12
3,50,4,17,564,25,2427.0,971,12
4,50,4,17,564,25,2427.0,951,12
5,50,4,17,564,25,2427.0,1011,12
6,50,4,17,564,25,2427.0,1051,13
7,50,4,17,564,25,2427.0,1011,12
8,50,4,17,564,25,2427.0,1115,13
9,50,4,17,564,25,2427.0,1011,12
10,50,4,17,564,25,2427.0,929,12
1,50,2,8,263,50,4196.0,6113,84
2,50,2,8,263,50,4196.0,6108,84
3,50,2,8,263,50,4196.0,6195,85
4,50,2,8,263,50,4196.0,6130,84
5,50,2,8,263,50,4196.0,6120,84
6,50,2,8,263,50,4196.0,6228,86
7,50,2,8,263,50,4196.0,6115,84
8,50,2,8,263,50,4196.0,6095,84
9,50,2,8,263,50,4196.0,6066,83
10,50,2,8,263,50,4196.0,6181,85
1,50,8,35,1084,50,4538.0,5374,53
2,50,8,35,1084,50,4538.0,5257,51
3,50,8,35,1084,50,4538.0,5299,51
4,50,8,35,1084,50,4538.0,5297,52
5,50,8,35,1084,50,4538.0,5431,53
6,50,8,35,1084,50,4538.0,5454,53
7,50,8,35,1084,50,4538.0,5309,51
8,50,8,35,1084,50,4538.0,5446,53
9,50,8,35,1084,50,4538.0,5263,51
10,50,8,35,1084,50,4538.0,5367,52
1,50,3,12,358,75,7150.0,2464,31
2,50,3,12,358,75,7150.0,2490,32
3,50,3,12,358,75,7150.0,2451,31
4,50,3,12,358,75,7150.0,2382,30
5,50,3,12,358,75,7150.0,2415,31
6,50,3,12,358,75,7150.0,2371,30
7,50,3,12,358,75,7150.0,2350,29
8,50,3,12,358,75,7150.0,2467,31
9,50,3,12,358,75,7150.0,2437,31
10,50,3,12,358,75,7150.0,2408,30
1,50,13,53,1686,75,7343.0,1511,15
2,50,13,53,1686,75,7343.0,1631,17
3,50,13,53,1686,75,7343.0,1568,16
4,50,13,53,1686,75,7343.0,1686,17
5,50,13,53,1686,75,7343.0,1675,17
6,50,13,53,1686,75,7343.0,1485,15
7,50,13,53,1686,75,7343.0,1547,15
8,50,13,53,1686,75,7343.0,1460,15
9,50,13,53,1686,75,7343.0,1617,16
10,50,13,53,1686,75,7343.0,1527,15
1,100,1,1,100,25,2190.0,8487,270
2,100,1,1,100,25,2190.0,8547,271
3,100,1,1,100,25,2190.0,8493,269
4,100,1,1,100,25,2190.0,8499,269
5,100,1,1,100,25,2190.0,8492,269
6,100,1,1,100,25,2190.0,8498,269
7,100,1,1,100,25,2190.0,8511,269
8,100,1,1,100,25,2190.0,8567,271
9,100,1,1,100,25,2190.0,8546,270
10,100,1,1,100,25,2190.0,8496,268
1,100,1,4,253,25,2362.0,5223,89
2,100,1,4,253,25,2362.0,5284,90
3,100,1,4,253,25,2362.0,5499,94
4,100,1,4,253,25,2362.0,5315,91
5,100,1,4,253,25,2362.0,5330,91
