i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,50,1,1,50,12,1099.0,1957,60
2,50,1,1,50,12,1099.0,1963,58
3,50,1,1,50,12,1099.0,1982,59
4,50,1,1,50,12,1099.0,1944,58
5,50,1,1,50,12,1099.0,1980,58
6,50,1,1,50,12,1099.0,2004,59
7,50,1,1,50,12,1099.0,1950,58
8,50,1,1,50,12,1099.0,1970,58
9,50,1,1,50,12,1099.0,1984,59
10,50,1,1,50,12,1099.0,1958,58
1,50,1,6,144,12,1125.0,1630,29
2,50,1,6,144,12,1125.0,1617,28
3,50,1,6,144,12,1125.0,1576,28
4,50,1,6,144,12,1125.0,1541,27
5,50,1,6,144,12,1125.0,1555,27
6,50,1,6,144,12,1125.0,1580,25
7,50,1,6,144,12,1125.0,1605,25
8,50,1,6,144,12,1125.0,1541,25
9,50,1,6,144,12,1125.0,1599,26
10,50,1,6,144,12,1125.0,1559,25
1,50,1,1,50,25,1965.0,4961,144
2,50,1,1,50,25,1965.0,4964,144
3,50,1,1,50,25,1965.0,4989,145
4,50,1,1,50,25,1965.0,4980,145
5,50,1,1,50,25,1965.0,4973,146
6,50,1,1,50,25,1965.0,4985,144
7,50,1,1,50,25,1965.0,4970,144
8,50,1,1,50,25,1965.0,4974,145
9,50,1,1,50,25,1965.0,4982,144
10,50,1,1,50,25,1965.0,4969,144
1,50,1,4,131,25,2295.0,4897,90
2,50,1,4,131,25,2295.0,4937,90
3,50,1,4,131,25,2295.0,5034,92
4,50,1,4,131,25,2295.0,4978,92
5,50,1,4,131,25,2295.0,4953,91
6,50,1,4,131,25,2295.0,4976,93
7,50,1,4,131,25,2295.0,4813,89
8,50,1,4,131,25,2295.0,4915,89
9,50,1,4,131,25,2295.0,4885,90
10,50,1,4,131,25,2295.0,4924,90
1,50,4,17,564,25,2427.0,952,13
2,50,4,17,564,25,2427.0,1073,14
3,50,4,17,564,25,2427.0,992,13
4,50,4,17,564,25,2427.0,956,13
5,50,4,17,564,25,2427.0,1208,16
6,50,4,17,564,25,2427.0,1000,13
7,50,4,17,564,25,2427.0,1416,19
8,50,4,17,564,25,2427.0,1033,14
9,50,4,17,564,25,2427.0,989,13
10,50,4,17,564,25,2427.0,991,13
1,50,2,8,263,50,4196.0,6697,98
2,50,2,8,263,50,4196.0,6741,99
3,50,2,8,263,50,4196.0,6764,99
4,50,2,8,263,50,4196.0,6725,99
5,50,2,8,263,50,4196.0,6757,99
6,50,2,8,263,50,4196.0,6679,98
7,50,2,8,263,50,4196.0,6758,100
8,50,2,8,263,50,4196.0,6923,101
9,50,2,8,263,50,4196.0,6876,101
10,50,2,8,263,50,4196.0,6702,99
1,50,8,35,1084,50,4538.0,5547,60
2,50,8,35,1084,50,4538.0,5382,58
3,50,8,35,1084,50,4538.0,5565,60
4,50,8,35,1084,50,4538.0,5599,61
5,50,8,35,1084,50,4538.0,5407,59
6,50,8,35,1084,50,4538.0,5469,60
7,50,8,35,1084,50,4538.0,5423,58
8,50,8,35,1084,50,4538.0,5648,62
9,50,8,35,1084,50,4538.0,5452,58
10,50,8,35,1084,50,4538.0,5492,59
1,50,3,12,358,75,7150.0,2699,39
2,50,3,12,358,75,7150.0,3122,45
3,50,3,12,358,75,7150.0,3042,45
