i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,100,1,1,100,25,2178.0,3302,113
2,100,1,1,100,25,2178.0,3311,110
3,100,1,1,100,25,2178.0,3309,110
4,100,1,1,100,25,2178.0,3331,111
5,100,1,1,100,25,2178.0,3298,109
1,100,1,4,262,25,2375.0,2029,41
2,100,1,4,262,25,2379.0,1713,34
3,100,1,4,262,25,2379.0,1650,33
4,100,1,4,262,25,2379.0,1784,38
5,100,1,4,262,25,2379.0,1907,40
1,100,3,12,775,25,2333.0,1612,23
2,100,3,12,775,25,2333.0,1280,17
3,100,3,12,775,25,2328.0,1161,15
4,100,3,12,775,25,2333.0,1311,18
5,100,3,12,775,25,2333.0,1219,16
1,100,5,21,1270,25,2475.0,272,4
2,100,5,21,1270,25,2464.0,722,10
3,100,5,21,1270,25,2470.0,523,7
4,100,5,21,1270,25,2475.0,154,2
5,100,5,21,1270,25,2475.0,409,6
1,100,1,1,100,50,3624.0,3378,109
2,100,1,1,100,50,3624.0,3380,108
3,100,1,1,100,50,3624.0,3310,107
4,100,1,1,100,50,3624.0,3355,108
5,100,1,1,100,50,3624.0,3394,110
1,100,2,8,473,50,4825.0,993,16
2,100,2,8,473,50,4787.0,1345,22
3,100,2,8,473,50,4825.0,972,15
4,100,2,8,473,50,4825.0,964,15
5,100,2,8,473,50,4822.0,1290,20
1,100,6,26,1542,50,4745.0,684,8
2,100,6,26,1542,50,4703.0,806,10
3,100,6,26,1542,50,4751.0,838,10
4,100,6,26,1542,50,4734.0,759,9
5,100,6,26,1542,50,4734.0,719,9
1,100,11,44,2911,50,4890.0,993,11
2,100,11,44,2911,50,4905.0,724,9
3,100,11,44,2911,50,4800.0,1482,16
4,100,11,44,2911,50,4905.0,772,9
5,100,11,44,2911,50,4905.0,868,10
1,100,5,20,1298,100,9760.0,775,10
2,100,5,20,1298,100,9812.0,686,9
3,100,5,20,1298,100,9717.0,1027,13
4,100,5,20,1298,100,9666.0,1022,14
5,100,5,20,1298,100,9773.0,627,8
1,100,14,56,3466,100,9731.0,866,11
2,100,14,56,3466,100,9635.0,863,10
3,100,14,56,3466,100,9731.0,1343,15
4,100,14,56,3466,100,9651.0,877,10
5,100,14,56,3466,100,9635.0,803,9
1,100,23,92,5665,100,9602.0,976,10
2,100,23,92,5665,100,9778.0,760,8
3,100,23,92,5665,100,9762.0,622,7
4,100,23,92,5665,100,9691.0,689,8
5,100,23,92,5665,100,9762.0,675,8
1,100,10,40,2627,200,18469.0,784,11
2,100,10,40,2627,200,18439.0,726,10
3,100,10,40,2627,200,17861.0,731,10
4,100,10,40,2627,200,18525.0,740,10
5,100,10,40,2627,200,17697.0,838,11
1,100,28,112,7123,200,18610.0,906,11
2,100,28,112,7123,200,19511.0,595,7
3,100,28,112,7123,200,19416.0,385,5
4,100,28,112,7123,200,19466.0,472,6
5,100,28,112,7123,200,19212.0,667,8
1,100,46,184,11340,200,19520.0,193,2
2,100,46,184,11340,200,19600.0,183,2
3,100,46,184,11340,200,19136.0,540,6
4,100,46,184,11340,200,19520.0,348,4
5,100,46,184,11340,200,19600.0,257,3
1,200,1,1,200,50,4418.0,7452,272
2,200,1,1,200,50,4419.0,7118,260
3,200,1,1,200,50,4419.0,7338,268
4,200,1,1,200,50,4419.0,7176,261
5,200,1,1,200,50,4419.0,7325,266
1,200,2,8,999,50,4792.0,4651,80
2,200,2,8,999,50,4792.0,5064,89
3,200,2,8,999,50,4786.0,4721,84
4,200,2,8,999,50,4792.0,4424,79
5,200,2,8,999,50,4785.0,4844,83
1,200,6,26,3046,50,4940.0,1276,19
2,200,6,26,3046,50,4940.0,1220,18
3,200,6,26,3046,50,4940.0,1179,18
4,200,6,26,3046,50,4923.0,1255,18
5,200,6,26,3046,50,4917.0,1479,21
1,200,11,44,5450,50,4950.0,909,14
2,200,11,44,5450,50,4950.0,1086,15
3,200,11,44,5450,50,4950.0,481,8
4,200,11,44,5450,50,4950.0,1001,14
5,200,11,44,5450,50,4950.0,308,5
1,200,1,1,200,100,7118.0,7870,300
2,200,1,1,200,100,7117.0,7983,303
3,200,1,1,200,100,7118.0,7817,297
4,200,1,1,200,100,7118.0,7918,300
5,200,1,1,200,100,7118.0,7764,294
1,200,5,20,2483,100,9631.0,3709,54
2,200,5,20,2483,100,9672.0,2866,42
3,200,5,20,2483,100,9687.0,2868,47
4,200,5,20,2483,100,9703.0,2757,40
