i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,100,1,1,100,25,2178.0,2960,102
2,100,1,1,100,25,2178.0,2967,101
3,100,1,1,100,25,2178.0,2964,101
4,100,1,1,100,25,2178.0,2970,101
5,100,1,1,100,25,2178.0,2934,100
1,100,1,4,262,25,2379.0,1405,30
2,100,1,4,262,25,2379.0,1525,32
3,100,1,4,262,25,2379.0,1444,30
4,100,1,4,262,25,2379.0,1473,29
5,100,1,4,262,25,2379.0,1479,31
1,100,3,12,775,25,2333.0,1007,16
2,100,3,12,775,25,2333.0,1165,17
3,100,3,12,775,25,2328.0,1029,15
4,100,3,12,775,25,2333.0,995,15
5,100,3,12,775,25,2333.0,1262,19
1,100,5,21,1270,25,2475.0,352,6
2,100,5,21,1270,25,2475.0,329,5
3,100,5,21,1270,25,2475.0,449,6
4,100,5,21,1270,25,2475.0,168,4
5,100,5,21,1270,25,2475.0,418,6
1,100,1,1,100,50,3624.0,3154,100
2,100,1,1,100,50,3624.0,3179,101
3,100,1,1,100,50,3624.0,3181,101
4,100,1,1,100,50,3624.0,3182,101
5,100,1,1,100,50,3624.0,3151,100
1,100,2,8,473,50,4825.0,874,14
2,100,2,8,473,50,4819.0,1054,16
3,100,2,8,473,50,4821.0,1050,17
4,100,2,8,473,50,4825.0,942,14
5,100,2,8,473,50,4825.0,1026,16
1,100,6,26,1542,50,4751.0,697,9
2,100,6,26,1542,50,4742.0,692,9
3,100,6,26,1542,50,4751.0,595,7
4,100,6,26,1542,50,4751.0,691,9
5,100,6,26,1542,50,4751.0,554,7
1,100,11,44,2911,50,4905.0,719,9
2,100,11,44,2911,50,4905.0,736,9
3,100,11,44,2911,50,4890.0,991,12
4,100,11,44,2911,50,4905.0,781,9
5,100,11,44,2911,50,4905.0,680,8
1,100,5,20,1298,100,9718.0,798,10
2,100,5,20,1298,100,9773.0,820,11
3,100,5,20,1298,100,9812.0,558,7
4,100,5,20,1298,100,9812.0,493,6
5,100,5,20,1298,100,9812.0,620,8
1,100,14,56,3466,100,9635.0,760,9
2,100,14,56,3466,100,9735.0,642,7
3,100,14,56,3466,100,9677.0,699,8
4,100,14,56,3466,100,9663.0,776,9
5,100,14,56,3466,100,9755.0,860,10
1,100,23,92,5665,100,9778.0,541,6
2,100,23,92,5665,100,9788.0,628,7
3,100,23,92,5665,100,9762.0,804,9
4,100,23,92,5665,100,9762.0,707,8
5,100,23,92,5665,100,9691.0,797,9
1,100,10,40,2627,200,18706.0,757,9
2,100,10,40,2627,200,18691.0,705,9
3,100,10,40,2627,200,18609.0,660,8
4,100,10,40,2627,200,18595.0,762,9
5,100,10,40,2627,200,18683.0,759,9
1,100,28,112,7123,200,19610.0,591,7
2,100,28,112,7123,200,19628.0,513,6
3,100,28,112,7123,200,19511.0,453,5
4,100,28,112,7123,200,19352.0,554,6
5,100,28,112,7123,200,19055.0,629,7
1,100,46,184,11340,200,19542.0,287,3
2,100,46,184,11340,200,19350.0,340,4
3,100,46,184,11340,200,19561.0,306,3
4,100,46,184,11340,200,19530.0,198,2
5,100,46,184,11340,200,19474.0,264,3
1,200,1,1,200,50,4419.0,6717,251
2,200,1,1,200,50,4419.0,6689,248
3,200,1,1,200,50,4419.0,6719,251
4,200,1,1,200,50,4419.0,6867,256
5,200,1,1,200,50,4419.0,6748,252
1,200,2,8,999,50,4792.0,4306,78
2,200,2,8,999,50,4792.0,4239,76
3,200,2,8,999,50,4792.0,4294,77
4,200,2,8,999,50,4791.0,4385,78
5,200,2,8,999,50,4792.0,4196,75
1,200,6,26,3046,50,4940.0,1370,21
