i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,100,1,1,100,25,2178.0,2953,97
2,100,1,1,100,25,2178.0,2981,96
3,100,1,1,100,25,2178.0,2952,96
4,100,1,1,100,25,2178.0,2980,96
5,100,1,1,100,25,2178.0,2987,96
1,100,1,4,262,25,2379.0,1519,31
2,100,1,4,262,25,2379.0,1621,31
3,100,1,4,262,25,2379.0,1476,29
4,100,1,4,262,25,2379.0,1479,29
5,100,1,4,262,25,2379.0,1497,29
1,100,3,12,775,25,2333.0,1047,15
2,100,3,12,775,25,2333.0,1169,17
3,100,3,12,775,25,2333.0,1180,17
4,100,3,12,775,25,2333.0,1115,16
5,100,3,12,775,25,2333.0,1199,17
1,100,5,21,1270,25,2475.0,371,5
2,100,5,21,1270,25,2475.0,569,7
3,100,5,21,1270,25,2475.0,445,6
4,100,5,21,1270,25,2475.0,458,6
5,100,5,21,1270,25,2475.0,370,5
1,100,1,1,100,50,3624.0,3169,100
2,100,1,1,100,50,3624.0,3187,96
3,100,1,1,100,50,3624.0,3191,96
4,100,1,1,100,50,3624.0,3170,96
5,100,1,1,100,50,3624.0,3202,96
1,100,2,8,473,50,4819.0,1126,17
2,100,2,8,473,50,4821.0,1075,16
3,100,2,8,473,50,4817.0,1019,15
4,100,2,8,473,50,4825.0,941,14
5,100,2,8,473,50,4817.0,1036,15
1,100,6,26,1542,50,4745.0,674,8
2,100,6,26,1542,50,4751.0,872,10
3,100,6,26,1542,50,4751.0,632,7
4,100,6,26,1542,50,4751.0,823,9
5,100,6,26,1542,50,4718.0,1200,14
1,100,11,44,2911,50,4905.0,807,9
2,100,11,44,2911,50,4905.0,895,10
3,100,11,44,2911,50,4905.0,912,11
4,100,11,44,2911,50,4905.0,923,10
5,100,11,44,2911,50,4905.0,921,10
1,100,5,20,1298,100,9812.0,569,7
2,100,5,20,1298,100,9812.0,601,7
3,100,5,20,1298,100,9760.0,760,10
4,100,5,20,1298,100,9768.0,589,7
5,100,5,20,1298,100,9760.0,822,10
1,100,14,56,3466,100,9767.0,810,9
2,100,14,56,3466,100,9691.0,774,8
3,100,14,56,3466,100,9698.0,586,6
4,100,14,56,3466,100,9651.0,915,10
5,100,14,56,3466,100,9767.0,1033,11
1,100,23,92,5665,100,9673.0,747,8
2,100,23,92,5665,100,9762.0,813,8
3,100,23,92,5665,100,9673.0,692,7
4,100,23,92,5665,100,9762.0,797,8
5,100,23,92,5665,100,9687.0,840,8
1,100,10,40,2627,200,18696.0,695,8
2,100,10,40,2627,200,18769.0,696,9
3,100,10,40,2627,200,18676.0,908,10
4,100,10,40,2627,200,18464.0,805,9
5,100,10,40,2627,200,18734.0,724,8
1,100,28,112,7123,200,19628.0,497,5
2,100,28,112,7123,200,19397.0,489,5
3,100,28,112,7123,200,19436.0,440,5
4,100,28,112,7123,200,19610.0,583,6
5,100,28,112,7123,200,19592.0,469,5
1,100,46,184,11340,200,19274.0,298,3
2,100,46,184,11340,200,19520.0,452,5
3,100,46,184,11340,200,19484.0,401,4
4,100,46,184,11340,200,19600.0,286,3
5,100,46,184,11340,200,19442.0,418,4
1,200,1,1,200,50,4419.0,6816,243
2,200,1,1,200,50,4419.0,6864,244
3,200,1,1,200,50,4419.0,6736,239
4,200,1,1,200,50,4419.0,6752,240
5,200,1,1,200,50,4419.0,6888,245
1,200,2,8,999,50,4792.0,4231,73
2,200,2,8,999,50,4792.0,4312,74
3,200,2,8,999,50,4792.0,4188,72
4,200,2,8,999,50,4792.0,4250,73
5,200,2,8,999,50,4788.0,4357,73
1,200,6,26,3046,50,4940.0,1245,18
2,200,6,26,3046,50,4940.0,1472,21
3,200,6,26,3046,50,4940.0,1510,21
4,200,6,26,3046,50,4940.0,1237,18
5,200,6,26,3046,50,4940.0,1366,19
1,200,11,44,5450,50,4950.0,542,8
2,200,11,44,5450,50,4950.0,915,13
3,200,11,44,5450,50,4950.0,855,12
4,200,11,44,5450,50,4950.0,1060,15
5,200,11,44,5450,50,4950.0,1083,15
1,200,1,1,200,100,7118.0,7492,272
2,200,1,1,200,100,7118.0,7579,275
3,200,1,1,200,100,7118.0,7490,271
4,200,1,1,200,100,7118.0,7548,274
5,200,1,1,200,100,7118.0,7454,271
1,200,5,20,2483,100,9708.0,2616,37
2,200,5,20,2483,100,9708.0,2441,34
3,200,5,20,2483,100,9708.0,2366,35
4,200,5,20,2483,100,9702.0,2880,43
5,200,5,20,2483,100,9708.0,2399,34
1,200,14,56,6925,100,9895.0,1231,17
2,200,14,56,6925,100,9895.0,1488,22
3,200,14,56,6925,100,9895.0,1032,14
