i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,100,1,1,100,25,2073.0,554,18
2,100,1,1,100,25,2094.0,554,18
3,100,1,1,100,25,2081.0,554,17
4,100,1,1,100,25,2101.0,554,17
5,100,1,1,100,25,2066.0,554,18
1,100,1,4,262,25,2113.0,401,17
2,100,1,4,262,25,2265.0,402,17
3,100,1,4,262,25,2283.0,399,17
4,100,1,4,262,25,2170.0,384,17
5,100,1,4,262,25,2046.0,381,17
1,100,3,12,775,25,2264.0,376,17
2,100,3,12,775,25,2279.0,369,17
3,100,3,12,775,25,2293.0,385,17
4,100,3,12,775,25,2314.0,394,17
5,100,3,12,775,25,2291.0,368,17
1,100,5,21,1270,25,2475.0,342,17
2,100,5,21,1270,25,2475.0,324,17
3,100,5,21,1270,25,2475.0,285,16
4,100,5,21,1270,25,2475.0,326,17
5,100,5,21,1270,25,2470.0,410,17
1,100,1,1,100,50,3422.0,509,18
2,100,1,1,100,50,3389.0,509,18
3,100,1,1,100,50,3376.0,509,18
4,100,1,1,100,50,3412.0,510,18
5,100,1,1,100,50,3432.0,510,18
1,100,2,8,473,50,4575.0,336,17
2,100,2,8,473,50,4454.0,332,17
3,100,2,8,473,50,4163.0,319,17
4,100,2,8,473,50,4345.0,323,17
5,100,2,8,473,50,4309.0,310,17
1,100,6,26,1542,50,3752.0,256,16
2,100,6,26,1542,50,4196.0,262,16
3,100,6,26,1542,50,4158.0,260,16
4,100,6,26,1542,50,4336.0,276,16
5,100,6,26,1542,50,4496.0,274,16
1,100,11,44,2911,50,4778.0,253,16
2,100,11,44,2911,50,4626.0,251,16
3,100,11,44,2911,50,4800.0,260,16
4,100,11,44,2911,50,4890.0,245,16
5,100,11,44,2911,50,4510.0,249,16
1,100,5,20,1298,100,7792.0,260,18
2,100,5,20,1298,100,7420.0,252,15
3,100,5,20,1298,100,8160.0,271,15
4,100,5,20,1298,100,8109.0,264,15
5,100,5,20,1298,100,8315.0,254,15
1,100,14,56,3466,100,8214.0,202,14
2,100,14,56,3466,100,8005.0,197,14
3,100,14,56,3466,100,7224.0,187,14
4,100,14,56,3466,100,7654.0,197,14
5,100,14,56,3466,100,9242.0,198,14
1,100,23,92,5665,100,8707.0,187,14
2,100,23,92,5665,100,8540.0,192,15
3,100,23,92,5665,100,8691.0,175,14
4,100,23,92,5665,100,8302.0,179,14
5,100,23,92,5665,100,7632.0,191,14
1,100,10,40,2627,200,14162.0,181,14
2,100,10,40,2627,200,14131.0,185,14
3,100,10,40,2627,200,13589.0,185,14
4,100,10,40,2627,200,15418.0,181,14
5,100,10,40,2627,200,15440.0,186,14
1,100,28,112,7123,200,16905.0,167,14
2,100,28,112,7123,200,12142.0,179,14
3,100,28,112,7123,200,14212.0,157,14
4,100,28,112,7123,200,15092.0,161,14
5,100,28,112,7123,200,13320.0,161,14
1,100,46,184,11340,200,11618.0,155,14
2,100,46,184,11340,200,17224.0,153,14
3,100,46,184,11340,200,14461.0,153,14
4,100,46,184,11340,200,13383.0,153,14
5,100,46,184,11340,200,11846.0,135,14
1,200,1,1,200,50,4359.0,1348,49
2,200,1,1,200,50,4395.0,1348,49
3,200,1,1,200,50,4372.0,1346,49
4,200,1,1,200,50,4378.0,1344,49
5,200,1,1,200,50,4388.0,1342,49
1,200,2,8,999,50,4210.0,711,44
2,200,2,8,999,50,4411.0,712,44
3,200,2,8,999,50,4367.0,713,44
4,200,2,8,999,50,4254.0,749,44
5,200,2,8,999,50,4188.0,712,44
1,200,6,26,3046,50,4563.0,579,42
2,200,6,26,3046,50,4825.0,620,43
3,200,6,26,3046,50,4818.0,590,43
4,200,6,26,3046,50,4813.0,589,43
5,200,6,26,3046,50,4412.0,587,43
1,200,11,44,5450,50,4818.0,526,42
2,200,11,44,5450,50,4740.0,570,43
3,200,11,44,5450,50,4695.0,556,43
4,200,11,44,5450,50,4950.0,549,43
5,200,11,44,5450,50,4950.0,544,43
1,200,1,1,200,100,7057.0,1214,49
2,200,1,1,200,100,7040.0,1211,49
3,200,1,1,200,100,7004.0,1216,49
4,200,1,1,200,100,6973.0,1204,49
5,200,1,1,200,100,7029.0,1213,49
1,200,5,20,2483,100,7496.0,548,44
2,200,5,20,2483,100,8394.0,564,44
3,200,5,20,2483,100,8529.0,540,44
4,200,5,20,2483,100,8276.0,544,44
5,200,5,20,2483,100,8207.0,569,44
1,200,14,56,6925,100,9786.0,452,43
2,200,14,56,6925,100,6925.0,429,44
3,200,14,56,6925,100,8442.0,410,43
4,200,14,56,6925,100,9576.0,400,44
5,200,14,56,6925,100,8388.0,408,43
1,200,23,92,11465,100,9294.0,421,44
2,200,23,92,11465,100,9560.0,432,43
3,200,23,92,11465,100,9798.0,420,43
4,200,23,92,11465,100,9040.0,430,44
5,200,23,92,11465,100,9455.0,406,43
1,200,10,40,5148,200,17032.0,430,43
2,200,10,40,5148,200,17094.0,436,43
3,200,10,40,5148,200,15658.0,428,43
4,200,10,40,5148,200,16448.0,459,44
5,200,10,40,5148,200,15152.0,440,43
1,200,28,112,13831,200,13353.0,309,43
2,200,28,112,13831,200,14719.0,335,43
3,200,28,112,13831,200,16350.0,379,43
4,200,28,112,13831,200,16018.0,334,43
5,200,28,112,13831,200,13005.0,342,43
1,200,46,184,22636,200,14010.0,343,43
2,200,46,184,22636,200,16690.0,319,43
3,200,46,184,22636,200,18836.0,321,43
4,200,46,184,22636,200,16890.0,323,43
5,200,46,184,22636,200,16760.0,316,43
1,200,20,80,10072,400,24272.0,362,49
2,200,20,80,10072,400,31972.0,326,49
3,200,20,80,10072,400,29292.0,335,49
4,200,20,80,10072,400,30032.0,369,48
5,200,20,80,10072,400,29957.0,349,48
1,200,56,224,27838,400,30302.0,282,48
2,200,56,224,27838,400,30342.0,294,48
3,200,56,224,27838,400,26344.0,264,48
4,200,56,224,27838,400,34364.0,305,48
5,200,56,224,27838,400,30032.0,305,48
1,200,92,368,44780,400,35699.0,266,48
2,200,92,368,44780,400,36855.0,265,48
3,200,92,368,44780,400,28160.0,269,48
4,200,92,368,44780,400,28160.0,295,48
5,200,92,368,44780,400,22980.0,282,48
1,500,1,1,500,125,10730.0,3815,208
2,500,1,1,500,125,10754.0,3794,207
3,500,1,1,500,125,10762.0,3798,207
4,500,1,1,500,125,10777.0,3815,208
5,500,1,1,500,125,10756.0,3801,208
1,500,6,24,7522,125,10967.0,1325,189
2,500,6,24,7522,125,11352.0,1326,188
3,500,6,24,7522,125,11704.0,1335,190
4,500,6,24,7522,125,10838.0,1447,189
5,500,6,24,7522,125,11086.0,1341,189
1,500,17,68,21854,125,11277.0,1050,186
2,500,17,68,21854,125,10241.0,1055,187
3,500,17,68,21854,125,10019.0,1103,187
4,500,17,68,21854,125,12307.0,1151,187
5,500,17,68,21854,125,12263.0,1135,186
1,500,28,113,36144,125,12375.0,869,185
2,500,28,113,36144,125,11625.0,1043,194
3,500,28,113,36144,125,12375.0,878,190
4,500,28,113,36144,125,12375.0,872,185
5,500,28,113,36144,125,11120.0,999,187
1,500,1,1,500,250,19140.0,3403,207
2,500,1,1,500,250,19159.0,3428,207
3,500,1,1,500,250,19181.0,3397,207
4,500,1,1,500,250,19113.0,3391,206
5,500,1,1,500,250,19161.0,3400,206
1,500,12,48,14555,250,21849.0,1017,193
2,500,12,48,14555,250,22309.0,1089,194
3,500,12,48,14555,250,22625.0,1102,194
4,500,12,48,14555,250,20908.0,999,193
5,500,12,48,14555,250,21244.0,1001,193
1,500,34,138,43487,250,19800.0,811,191
2,500,34,138,43487,250,20488.0,792,191
3,500,34,138,43487,250,23684.0,862,191
4,500,34,138,43487,250,22055.0,854,192
5,500,34,138,43487,250,19100.0,893,192
1,500,57,228,69798,250,21024.0,811,192
2,500,57,228,69798,250,21108.0,798,191
3,500,57,228,69798,250,23206.0,799,192
4,500,57,228,69798,250,24142.0,814,191
5,500,57,228,69798,250,23123.0,799,191
1,500,25,100,32474,500,41887.0,813,192
2,500,25,100,32474,500,42099.0,833,192
3,500,25,100,32474,500,39164.0,795,192
4,500,25,100,32474,500,42074.0,840,192
5,500,25,100,32474,500,43314.0,797,192
