i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,100,1,1,100,25,2159.0,575,7
2,100,1,1,100,25,2175.0,575,6
3,100,1,1,100,25,2147.0,575,6
4,100,1,1,100,25,2168.0,575,6
5,100,1,1,100,25,2157.0,575,6
1,100,1,4,262,25,2365.0,1550,15
2,100,1,4,262,25,2367.0,1550,15
3,100,1,4,262,25,2360.0,1550,15
4,100,1,4,262,25,2363.0,1550,15
5,100,1,4,262,25,2369.0,1550,15
1,100,3,12,775,25,2332.0,4625,43
2,100,3,12,775,25,2331.0,4625,42
3,100,3,12,775,25,2332.0,4625,42
4,100,3,12,775,25,2328.0,4625,42
5,100,3,12,775,25,2332.0,4625,42
1,100,5,21,1270,25,2475.0,7600,69
2,100,5,21,1270,25,2475.0,7600,70
3,100,5,21,1270,25,2475.0,7600,70
4,100,5,21,1270,25,2475.0,7600,69
5,100,5,21,1270,25,2475.0,7600,70
1,100,1,1,100,50,3615.0,550,9
2,100,1,1,100,50,3614.0,550,9
3,100,1,1,100,50,3611.0,550,9
4,100,1,1,100,50,3621.0,550,9
5,100,1,1,100,50,3602.0,550,9
1,100,2,8,473,50,4808.0,2800,38
2,100,2,8,473,50,4808.0,2800,38
3,100,2,8,473,50,4803.0,2800,38
4,100,2,8,473,50,4815.0,2800,38
5,100,2,8,473,50,4807.0,2800,38
1,100,6,26,1542,50,4745.0,9200,117
2,100,6,26,1542,50,4747.0,9200,117
3,100,6,26,1542,50,4739.0,9200,117
4,100,6,26,1542,50,4746.0,9200,116
5,100,6,26,1542,50,4743.0,9200,117
1,100,11,44,2911,50,4887.0,17400,217
2,100,11,44,2911,50,4887.0,17400,220
3,100,11,44,2911,50,4881.0,17400,217
4,100,11,44,2911,50,4884.0,17400,219
5,100,11,44,2911,50,4884.0,17400,220
1,100,5,20,1298,100,9617.0,7700,159
2,100,5,20,1298,100,9674.0,7700,158
3,100,5,20,1298,100,9653.0,7700,158
4,100,5,20,1298,100,9675.0,7700,159
5,100,5,20,1298,100,9666.0,7700,158
1,100,14,56,3466,100,9830.0,20700,413
2,100,14,56,3466,100,9816.0,20700,416
3,100,14,56,3466,100,9822.0,20700,412
4,100,14,56,3466,100,9819.0,20700,409
5,100,14,56,3466,100,9823.0,20700,409
1,100,23,92,5665,100,9849.0,33900,657
2,100,23,92,5665,100,9840.0,33900,660
3,100,23,92,5665,100,9843.0,33900,660
4,100,23,92,5665,100,9845.0,33900,675
5,100,23,92,5665,100,9843.0,33900,679
1,100,10,40,2627,200,18898.0,15600,542
2,100,10,40,2627,200,18901.0,15600,544
3,100,10,40,2627,200,18902.0,15600,549
4,100,10,40,2627,200,18895.0,15600,547
5,100,10,40,2627,200,18885.0,15600,546
1,100,28,112,7123,200,19588.0,42600,1438
2,100,28,112,7123,200,19593.0,42600,1449
3,100,28,112,7123,200,19585.0,42600,1449
4,100,28,112,7123,200,19594.0,42600,1456
