i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,50,1,1,50,12,1099.0,1713,1527
1,50,1,6,144,12,1125.0,1546,1395
1,50,1,1,50,25,1965.0,3695,1571
1,50,1,4,131,25,2295.0,4357,1629
1,50,4,17,564,25,2427.0,1108,1646
1,50,2,8,263,50,4196.0,6183,1838
1,50,8,35,1084,50,4538.0,5367,1821
1,50,3,12,358,75,7150.0,2512,1906
1,50,13,53,1686,75,7343.0,1824,1921
1,100,1,1,100,25,2190.0,9721,7975
1,100,1,4,253,25,2362.0,6079,7631
1,100,4,17,1006,25,2475.0,404,7740
1,100,1,1,100,50,3689.0,21038,8797
1,100,2,8,515,50,4860.0,8342,8557
1,100,8,35,2129,50,4904.0,3997,8089
1,100,5,20,1228,100,9357.0,16668,8951
1,100,18,74,4827,100,9807.0,6882,9346
1,100,7,28,1780,150,14056.0,22880,9360
1,100,27,109,6708,150,14700.0,531,9009
1,250,1,1,250,62,5483.0,62310,80436
1,250,3,12,1851,62,6058.0,18370,79401
1,250,11,45,6887,62,6138.0,1141,80030
1,250,1,1,250,125,9357.0,118167,84257
1,250,6,24,3689,125,12183.0,44406,85153
1,250,23,92,14358,125,12291.0,18306,84485
1,250,12,48,7583,250,24451.0,46498,88494
1,250,46,184,28813,250,24500.0,619,89619
1,250,18,72,11082,375,36671.0,45339,92106
1,250,69,276,43286,375,37125.0,414,92648
1,375,1,1,375,93,8029.0,149052,231713
1,375,4,16,3660,93,9118.0,55256,228449
1,375,16,66,15562,93,9207.0,1585,230710
1,375,1,1,375,187,13586.0,291680,247362
1,375,9,36,8684,187,18355.0,59347,242689
1,375,34,137,32010,187,18513.0,1848,245034
1,375,18,72,16544,375,36950.0,63094,257272
1,375,69,276,64498,375,36987.0,47676,257021
1,375,28,112,26223,562,54613.0,115904,267076
1,375,104,417,96228,562,55638.0,1289,266835
