i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,50,1,1,50,12,4.114823378087998,612,1119
2,50,1,1,50,12,3.3946534986058525,612,1028
3,50,1,1,50,12,3.5082415809292593,612,983
4,50,1,1,50,12,3.9985096566158136,612,1009
5,50,1,1,50,12,4.20115758215335,612,1026
6,50,1,1,50,12,3.1128024601060638,612,1011
7,50,1,1,50,12,4.734548163132203,612,1011
8,50,1,1,50,12,3.8301351037132205,612,1014
9,50,1,1,50,12,3.59332800371336,612,1008
10,50,1,1,50,12,3.2600784303046306,612,986
1,50,1,6,189,12,2.572753539842042,612,1024
2,50,1,6,189,12,3.3770338571988185,612,1003
3,50,1,6,189,12,2.7823994347420564,612,1003
4,50,1,6,189,12,2.8382672191574905,612,1003
5,50,1,6,189,12,3.3182430533105416,612,1004
6,50,1,6,189,12,3.3078509648538956,612,1000
7,50,1,6,189,12,3.476563729809584,612,976
8,50,1,6,189,12,2.5257400904440095,612,1007
9,50,1,6,189,12,2.745743105545518,612,1016
10,50,1,6,189,12,3.2123001381663654,612,1002
1,50,1,1,50,25,6.644657421694298,1275,2087
2,50,1,1,50,25,6.780668625743414,1275,2083
3,50,1,1,50,25,6.62581693079347,1275,2088
4,50,1,1,50,25,6.922846080883935,1275,2081
5,50,1,1,50,25,6.944288859035892,1275,2055
6,50,1,1,50,25,7.422550358536694,1275,2102
7,50,1,1,50,25,6.773877918934207,1275,2077
8,50,1,1,50,25,6.798983905779172,1275,2081
9,50,1,1,50,25,6.238463405534904,1275,2079
10,50,1,1,50,25,6.670067163875559,1275,2085
1,50,1,4,128,25,5.625947670449788,1275,2078
2,50,1,4,128,25,5.4827335755963675,1275,2051
3,50,1,4,128,25,6.753811269335415,1275,2071
4,50,1,4,128,25,6.990549348280453,1275,2078
5,50,1,4,128,25,5.777311107011193,1275,2077
6,50,1,4,128,25,6.124693752627924,1275,2091
7,50,1,4,128,25,6.520361668857871,1275,2078
8,50,1,4,128,25,7.01590700572467,1275,2100
9,50,1,4,128,25,6.737432794498732,1275,2092
10,50,1,4,128,25,6.496567547825421,1275,2107
1,50,4,17,550,25,5.772047357765561,1275,2079
2,50,4,17,550,25,6.742990900801763,1275,2076
3,50,4,17,550,25,6.928952147576151,1275,2076
4,50,4,17,550,25,6.393253693282684,1275,2077
5,50,4,17,550,25,6.6249160066868225,1275,2074
6,50,4,17,550,25,5.878955462166067,1275,2049
7,50,4,17,550,25,6.083867299725901,1275,2077
8,50,4,17,550,25,5.7942197000630244,1275,2075
9,50,4,17,550,25,5.90568393824838,1275,2075
10,50,4,17,550,25,6.182909613057991,1275,2076
1,50,2,8,266,50,12.372466444384063,2550,4189
2,50,2,8,266,50,13.263605466236548,2550,4152
3,50,2,8,266,50,11.505343557619861,2550,4178
4,50,2,8,266,50,12.331663863186096,2550,4178
5,50,2,8,266,50,14.348249222236412,2550,4179
6,50,2,8,266,50,12.39464461169129,2550,4176
