i,n,b_low,b_high,r,approx,n_calls,time_ms
1,50,1,1,12,6.488045696051897,528,12
2,50,1,1,12,6.516795281973884,528,11
3,50,1,1,12,6.53840975767261,528,10
4,50,1,1,12,6.53840975767261,528,10
5,50,1,1,12,6.510018002805612,528,10
6,50,1,1,12,6.474321656630311,528,10
7,50,1,1,12,6.452207725313494,528,10
8,50,1,1,12,6.531462997419297,528,10
9,50,1,1,12,6.53840975767261,528,10
10,50,1,1,12,6.488045696051897,528,11
11,50,1,1,12,6.446761452747551,528,11
12,50,1,1,12,6.502713411497309,528,10
13,50,1,1,12,6.53840975767261,528,10
14,50,1,1,12,6.488045696051897,528,10
15,50,1,1,12,6.477714737017399,528,10
16,50,1,1,12,6.4725851548397735,528,10
17,50,1,1,12,6.53840975767261,528,10
18,50,1,1,12,6.53840975767261,528,10
19,50,1,1,12,6.53840975767261,528,10
20,50,1,1,12,6.53840975767261,528,11
21,50,1,1,12,6.451140160226089,528,10
22,50,1,1,12,6.531462997419297,528,10
23,50,1,1,12,6.510018002805612,528,10
24,50,1,1,12,6.43998417357928,528,10
25,50,1,1,12,6.53840975767261,528,10
26,50,1,1,12,6.53840975767261,528,10
27,50,1,1,12,6.531462997419297,528,10
28,50,1,1,12,6.53840975767261,528,10
29,50,1,1,12,6.484661497270711,528,10
30,50,1,1,12,6.499329212716124,528,10
31,50,1,1,12,6.53840975767261,528,10
32,50,1,1,12,6.403890496354056,528,10
33,50,1,1,12,6.53840975767261,528,10
34,50,1,1,12,6.53840975767261,528,10
35,50,1,1,12,6.510018002805612,528,10
36,50,1,1,12,6.53840975767261,528,10
37,50,1,1,12,6.4201304557925205,528,10
38,50,1,1,12,6.53840975767261,528,10
39,50,1,1,12,6.53840975767261,528,10
40,50,1,1,12,6.53840975767261,528,11
41,50,1,1,12,6.531462997419297,528,10
42,50,1,1,12,6.481098935798583,528,10
43,50,1,1,12,6.531462997419297,528,10
44,50,1,1,12,6.484661497270711,528,10
45,50,1,1,12,6.53840975767261,528,10
46,50,1,1,12,6.499329212716124,528,10
47,50,1,1,12,6.53840975767261,528,10
48,50,1,1,12,6.53840975767261,528,10
49,50,1,1,12,6.531462997419297,528,10
50,50,1,1,12,6.53840975767261,528,10
51,50,1,1,12,6.531462997419297,528,10
52,50,1,1,12,6.510018002805612,528,10
53,50,1,1,12,6.477884218102439,528,10
54,50,1,1,12,6.53840975767261,528,10
55,50,1,1,12,6.53840975767261,528,11
56,50,1,1,12,6.53840975767261,528,10
57,50,1,1,12,6.459653941184898,528,10
58,50,1,1,12,6.474321656630311,528,10
59,50,1,1,12,6.53840975767261,528,10
60,50,1,1,12,6.516795281973884,528,10
61,50,1,1,12,6.53840975767261,528,10
62,50,1,1,12,6.502713411497309,528,10
63,50,1,1,12,6.484973718939731,528,10
64,50,1,1,12,6.510018002805612,528,10
65,50,1,1,12,6.53840975767261,528,10
66,50,1,1,12,6.53840975767261,528,10
67,50,1,1,12,6.53840975767261,528,10
68,50,1,1,12,6.484661497270711,528,10
69,50,1,1,12,6.53840975767261,528,10
70,50,1,1,12,6.53840975767261,528,10
71,50,1,1,12,6.488045696051897,528,9
72,50,1,1,12,6.531462997419297,528,9
73,50,1,1,12,6.450970679141048,528,9
74,50,1,1,12,6.53840975767261,528,9
75,50,1,1,12,6.53840975767261,528,11
76,50,1,1,12,6.510018002805612,528,9
77,50,1,1,12,6.531462997419297,528,9
78,50,1,1,12,6.53840975767261,528,9
79,50,1,1,12,6.510018002805612,528,9
80,50,1,1,12,6.516795281973884,528,9
81,50,1,1,12,6.516795281973884,528,9
82,50,1,1,12,6.438227979405088,528,9
83,50,1,1,12,6.531462997419297,528,9
84,50,1,1,12,6.53840975767261,528,9
85,50,1,1,12,6.53840975767261,528,9
86,50,1,1,12,6.488045696051897,528,9
87,50,1,1,12,6.53840975767261,528,9
88,50,1,1,12,6.53840975767261,528,9
89,50,1,1,12,6.531462997419297,528,9
90,50,1,1,12,6.502713411497309,528,9
91,50,1,1,12,6.497125514368264,528,9
92,50,1,1,12,6.53840975767261,528,9
93,50,1,1,12,6.531462997419297,528,9
94,50,1,1,12,6.531462997419297,528,9
95,50,1,1,12,6.531462997419297,528,9
96,50,1,1,12,6.53840975767261,528,9
97,50,1,1,12,6.502713411497309,528,9
98,50,1,1,12,6.53840975767261,528,9
99,50,1,1,12,6.531462997419297,528,9
100,50,1,1,12,6.531462997419297,528,9
1,50,1,6,12,5.018231905294124,239,4
2,50,1,6,12,5.00116995940711,193,3
3,50,1,6,12,5.8907655116807724,243,4
4,50,1,6,12,5.781070682632706,252,4
5,50,1,6,12,6.236780846310954,257,4
6,50,1,6,12,4.907132560758916,196,3
7,50,1,6,12,6.236780846310954,235,4
8,50,1,6,12,6.331650717285441,255,4
9,50,1,6,12,5.00116995940711,202,3
10,50,1,6,12,4.671384098337651,232,4
11,50,1,6,12,6.331650717285441,251,4
12,50,1,6,12,4.560284753802442,200,3
13,50,1,6,12,4.623949162850408,237,4
14,50,1,6,12,6.208149306934328,258,4
15,50,1,6,12,4.849962266857963,202,3
16,50,1,6,12,5.861301499977855,251,4
