i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,50,1,1,50,12,6.53840975767261,1019,35
2,50,1,1,50,12,6.53840975767261,1016,33
3,50,1,1,50,12,6.53840975767261,1025,33
4,50,1,1,50,12,6.53840975767261,1031,33
5,50,1,1,50,12,6.53840975767261,1001,32
6,50,1,1,50,12,6.53840975767261,1015,33
7,50,1,1,50,12,6.53840975767261,1029,33
8,50,1,1,50,12,6.53840975767261,1004,32
9,50,1,1,50,12,6.53840975767261,1010,32
10,50,1,1,50,12,6.53840975767261,1035,33
1,50,1,6,189,12,6.398215286620241,566,9
2,50,1,6,189,12,6.398215286620241,526,8
3,50,1,6,189,12,6.398215286620241,552,9
4,50,1,6,189,12,6.398215286620241,566,9
5,50,1,6,189,12,6.398215286620241,600,9
6,50,1,6,189,12,6.398215286620241,540,9
7,50,1,6,189,12,6.398215286620241,561,9
8,50,1,6,189,12,6.398215286620241,520,8
9,50,1,6,189,12,6.398215286620241,540,8
10,50,1,6,189,12,6.398215286620241,526,8
1,50,1,1,50,25,9.27792776216877,1160,41
2,50,1,1,50,25,9.283939530957571,1128,40
3,50,1,1,50,25,9.283939530957571,1141,40
4,50,1,1,50,25,9.283939530957571,1141,40
5,50,1,1,50,25,9.283939530957571,1149,40
6,50,1,1,50,25,9.283939530957571,1133,40
7,50,1,1,50,25,9.283939530957571,1142,41
8,50,1,1,50,25,9.27792776216877,1162,41
9,50,1,1,50,25,9.283939530957571,1134,42
10,50,1,1,50,25,9.283939530957571,1143,40
1,50,1,4,128,25,12.863864772930388,1065,19
2,50,1,4,128,25,12.863864772930388,1061,19
3,50,1,4,128,25,12.863864772930388,1056,19
4,50,1,4,128,25,12.863864772930388,1035,18
5,50,1,4,128,25,12.863864772930388,1026,18
6,50,1,4,128,25,12.863864772930388,1092,19
7,50,1,4,128,25,12.863864772930388,1053,18
8,50,1,4,128,25,12.863864772930388,1023,18
9,50,1,4,128,25,12.863864772930388,1069,19
10,50,1,4,128,25,12.863864772930388,1094,19
1,50,4,17,550,25,12.831812711667132,197,2
2,50,4,17,550,25,12.831812711667132,408,4
3,50,4,17,550,25,12.831812711667132,203,2
4,50,4,17,550,25,12.831812711667132,204,2
5,50,4,17,550,25,12.831812711667132,179,2
6,50,4,17,550,25,12.831812711667132,231,2
7,50,4,17,550,25,12.831812711667132,201,2
8,50,4,17,550,25,12.829332834287108,137,1
9,50,4,17,550,25,12.829332834287108,236,2
10,50,4,17,550,25,12.831812711667132,177,2
1,50,2,8,266,50,23.453671491326762,1766,24
2,50,2,8,266,50,23.46704797630087,1759,23
3,50,2,8,266,50,23.453671491326762,1784,24
4,50,2,8,266,50,23.46704797630087,1768,23
5,50,2,8,266,50,23.452004356061703,1732,23
6,50,2,8,266,50,23.452004356061703,1733,23
7,50,2,8,266,50,23.452004356061703,1761,23
8,50,2,8,266,50,23.396675511284272,1767,24
9,50,2,8,266,50,23.449187289266522,1794,24
10,50,2,8,266,50,23.46704797630087,1738,23
1,50,8,35,1028,50,26.23969796124472,1050,10
2,50,8,35,1028,50,26.235421388276833,892,9
3,50,8,35,1028,50,26.23969796124472,890,9
4,50,8,35,1028,50,26.235421388276833,901,9
5,50,8,35,1028,50,26.235421388276833,900,9
6,50,8,35,1028,50,26.23969796124472,928,9
7,50,8,35,1028,50,26.23969796124472,947,9
8,50,8,35,1028,50,26.235421388276833,1078,10
9,50,8,35,1028,50,26.235421388276833,889,9
10,50,8,35,1028,50,26.235421388276833,909,9
1,50,3,12,373,75,33.164412363451135,987,12
2,50,3,12,373,75,33.164412363451135,967,12
