i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,50,1,1,50,12,6.53840975767261,2216,68
2,50,1,1,50,12,6.53840975767261,2218,66
3,50,1,1,50,12,6.53840975767261,2218,66
4,50,1,1,50,12,6.53840975767261,2236,67
5,50,1,1,50,12,6.53840975767261,2217,66
6,50,1,1,50,12,6.53840975767261,2198,65
7,50,1,1,50,12,6.53840975767261,2215,67
8,50,1,1,50,12,6.53840975767261,2232,66
9,50,1,1,50,12,6.53840975767261,2231,66
10,50,1,1,50,12,6.53840975767261,2218,66
1,50,1,6,189,12,6.398215286620241,1056,15
2,50,1,6,189,12,6.398215286620241,1109,15
3,50,1,6,189,12,6.398215286620241,1110,15
4,50,1,6,189,12,6.398215286620241,1109,15
5,50,1,6,189,12,6.398215286620241,1124,16
6,50,1,6,189,12,6.398215286620241,1111,15
7,50,1,6,189,12,6.398215286620241,1055,15
8,50,1,6,189,12,6.398215286620241,1110,15
9,50,1,6,189,12,6.398215286620241,1059,15
10,50,1,6,189,12,6.398215286620241,1052,15
1,50,1,1,50,25,9.283939530957571,5367,162
2,50,1,1,50,25,9.283939530957571,5366,162
3,50,1,1,50,25,9.283939530957571,5346,161
4,50,1,1,50,25,9.283939530957571,5343,161
5,50,1,1,50,25,9.283939530957571,5350,161
6,50,1,1,50,25,9.283939530957571,5370,164
7,50,1,1,50,25,9.283939530957571,5347,161
8,50,1,1,50,25,9.283939530957571,5365,162
9,50,1,1,50,25,9.283939530957571,5344,161
10,50,1,1,50,25,9.283939530957571,5377,163
1,50,1,4,128,25,12.863864772930388,4893,80
2,50,1,4,128,25,12.863864772930388,4851,79
3,50,1,4,128,25,12.863864772930388,4868,80
4,50,1,4,128,25,12.863864772930388,4910,80
5,50,1,4,128,25,12.863864772930388,4878,87
6,50,1,4,128,25,12.863864772930388,4835,79
7,50,1,4,128,25,12.863864772930388,4813,78
8,50,1,4,128,25,12.863864772930388,4833,78
9,50,1,4,128,25,12.863864772930388,4861,79
10,50,1,4,128,25,12.863864772930388,4832,78
1,50,4,17,550,25,12.831812711667132,392,4
2,50,4,17,550,25,12.831812711667132,422,4
3,50,4,17,550,25,12.831812711667132,427,4
4,50,4,17,550,25,12.831812711667132,311,3
5,50,4,17,550,25,12.829332834287108,244,2
6,50,4,17,550,25,12.831812711667132,422,4
7,50,4,17,550,25,12.831812711667132,203,2
8,50,4,17,550,25,12.831812711667132,346,3
9,50,4,17,550,25,12.831812711667132,242,2
10,50,4,17,550,25,12.831812711667132,167,1
1,50,2,8,266,50,23.46986504309605,16572,203
2,50,2,8,266,50,23.46986504309605,16566,204
3,50,2,8,266,50,23.46704797630087,16569,204
4,50,2,8,266,50,23.46986504309605,16558,203
5,50,2,8,266,50,23.46986504309605,16574,204
6,50,2,8,266,50,23.46986504309605,16575,203
7,50,2,8,266,50,23.46986504309605,16504,202
8,50,2,8,266,50,23.46986504309605,16549,204
9,50,2,8,266,50,23.46986504309605,16515,202
10,50,2,8,266,50,23.46986504309605,16536,202
1,50,8,35,1028,50,26.23969796124472,8358,76
2,50,8,35,1028,50,26.23969796124472,8293,75
3,50,8,35,1028,50,26.23969796124472,8319,75
4,50,8,35,1028,50,26.235421388276833,8202,75
5,50,8,35,1028,50,26.23969796124472,8250,74
6,50,8,35,1028,50,26.23969796124472,8169,74
7,50,8,35,1028,50,26.23969796124472,8170,74
8,50,8,35,1028,50,26.23969796124472,8279,75
9,50,8,35,1028,50,26.235421388276833,8270,76
10,50,8,35,1028,50,26.235421388276833,8303,75
1,50,3,12,373,75,33.18304373971238,14437,168
2,50,3,12,373,75,33.18304373971238,14387,166
3,50,3,12,373,75,33.18304373971238,14428,167
4,50,3,12,373,75,33.18304373971238,14376,166
5,50,3,12,373,75,33.18304373971238,14396,167
6,50,3,12,373,75,33.18304373971238,14389,167
7,50,3,12,373,75,33.18304373971238,14438,167
8,50,3,12,373,75,33.18304373971238,14433,168
9,50,3,12,373,75,33.18304373971238,14449,168
10,50,3,12,373,75,33.18304373971238,14485,168
1,50,13,53,1702,75,37.98011971697176,4476,42
2,50,13,53,1702,75,37.98011971697176,4533,42
3,50,13,53,1702,75,37.98011971697176,4480,42
4,50,13,53,1702,75,37.98011971697176,4434,41
5,50,13,53,1702,75,37.98011971697176,4496,41
6,50,13,53,1702,75,37.98011971697176,4596,43
7,50,13,53,1702,75,37.98011971697176,4455,41
8,50,13,53,1702,75,37.98011971697176,4504,42
9,50,13,53,1702,75,37.98011971697176,4401,41
10,50,13,53,1702,75,37.98011971697176,4351,40
1,100,1,1,100,25,10.811251841466628,18411,546
2,100,1,1,100,25,10.811251841466628,18447,547
3,100,1,1,100,25,10.811251841466628,18369,543
4,100,1,1,100,25,10.811251841466628,18390,547
5,100,1,1,100,25,10.811251841466628,18372,544
6,100,1,1,100,25,10.811251841466628,18467,546
7,100,1,1,100,25,10.811251841466628,18445,546
8,100,1,1,100,25,10.811251841466628,18370,544
9,100,1,1,100,25,10.811251841466628,18447,547
10,100,1,1,100,25,10.811251841466628,18412,545
1,100,1,4,240,25,13.98911116365817,36630,601
2,100,1,4,240,25,13.98911116365817,36602,602
3,100,1,4,240,25,13.98911116365817,36630,602
4,100,1,4,240,25,13.98911116365817,36686,603
5,100,1,4,240,25,13.98911116365817,36676,602
6,100,1,4,240,25,13.98911116365817,36675,604
7,100,1,4,240,25,13.98911116365817,36685,615
8,100,1,4,240,25,13.98911116365817,36565,604
9,100,1,4,240,25,13.98911116365817,36617,602
10,100,1,4,240,25,13.98911116365817,36732,603
1,100,4,17,1068,25,14.556587151503638,7096,74
2,100,4,17,1068,25,14.556587151503638,7375,76
3,100,4,17,1068,25,14.556587151503638,7204,75
4,100,4,17,1068,25,14.556587151503638,7116,74
5,100,4,17,1068,25,14.556587151503638,7209,75
6,100,4,17,1068,25,14.556587151503638,7373,77
7,100,4,17,1068,25,14.556587151503638,7205,75
8,100,4,17,1068,25,14.556587151503638,7090,74
9,100,4,17,1068,25,14.556587151503638,7213,75
10,100,4,17,1068,25,14.556587151503638,7092,73
1,100,1,1,100,50,18.686533010301584,26128,888
2,100,1,1,100,50,18.686533010301584,26135,887
3,100,1,1,100,50,18.686533010301584,26104,884
4,100,1,1,100,50,18.686159262351882,26153,886
