i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,50,1,1,50,12,6.53840975767261,1442,46
2,50,1,1,50,12,6.53840975767261,1509,45
3,50,1,1,50,12,6.53840975767261,1469,44
4,50,1,1,50,12,6.53840975767261,1438,43
5,50,1,1,50,12,6.53840975767261,1456,43
6,50,1,1,50,12,6.53840975767261,1441,43
7,50,1,1,50,12,6.53840975767261,1458,43
8,50,1,1,50,12,6.53840975767261,1471,44
9,50,1,1,50,12,6.53840975767261,1439,43
10,50,1,1,50,12,6.53840975767261,1441,43
1,50,1,6,189,12,6.398215286620241,843,13
2,50,1,6,189,12,6.398215286620241,682,10
3,50,1,6,189,12,6.398215286620241,716,11
4,50,1,6,189,12,6.398215286620241,717,11
5,50,1,6,189,12,6.398215286620241,691,10
6,50,1,6,189,12,6.398215286620241,736,11
7,50,1,6,189,12,6.398215286620241,824,12
8,50,1,6,189,12,6.398215286620241,647,10
9,50,1,6,189,12,6.398215286620241,763,12
10,50,1,6,189,12,6.398215286620241,688,10
1,50,1,1,50,25,9.283939530957571,1418,45
2,50,1,1,50,25,9.283939530957571,1381,44
3,50,1,1,50,25,9.283939530957571,1368,43
4,50,1,1,50,25,9.283939530957571,1395,44
5,50,1,1,50,25,9.283939530957571,1384,41
6,50,1,1,50,25,9.283939530957571,1396,40
7,50,1,1,50,25,9.283939530957571,1391,40
8,50,1,1,50,25,9.283939530957571,1389,40
9,50,1,1,50,25,9.283939530957571,1367,39
10,50,1,1,50,25,9.283939530957571,1406,41
1,50,1,4,128,25,12.863864772930388,1250,22
2,50,1,4,128,25,12.863864772930388,1311,23
3,50,1,4,128,25,12.863864772930388,1153,20
4,50,1,4,128,25,12.863864772930388,1159,20
5,50,1,4,128,25,12.863864772930388,1164,20
6,50,1,4,128,25,12.863864772930388,1155,20
7,50,1,4,128,25,12.863864772930388,1097,19
8,50,1,4,128,25,12.863864772930388,1102,19
9,50,1,4,128,25,12.863864772930388,1089,19
