i,n,b_low,b_high,b_sum,r,approx,n_calls,time_ms
1,50,1,1,50,12,6.502713411497309,264,4
2,50,1,1,50,12,6.53840975767261,264,4
3,50,1,1,50,12,6.488045696051897,264,3
4,50,1,1,50,12,6.53840975767261,264,2
5,50,1,1,50,12,6.484661497270711,264,2
6,50,1,1,50,12,6.53840975767261,264,2
7,50,1,1,50,12,6.390399530184908,264,2
8,50,1,1,50,12,6.531462997419297,264,2
9,50,1,1,50,12,6.53840975767261,264,2
10,50,1,1,50,12,6.497125514368264,264,2
1,50,1,6,189,12,6.394082177713075,996,9
2,50,1,6,189,12,6.3486350249864625,996,9
3,50,1,6,189,12,6.394082177713075,996,9
4,50,1,6,189,12,6.394082177713075,996,9
5,50,1,6,189,12,6.394082177713075,996,9
6,50,1,6,189,12,6.394082177713075,996,9
7,50,1,6,189,12,6.415669264686188,996,9
8,50,1,6,189,12,6.415669264686188,996,9
9,50,1,6,189,12,6.372495090739962,996,9
10,50,1,6,189,12,6.394082177713075,996,9
1,50,1,1,50,25,9.26658443817227,250,3
2,50,1,1,50,25,9.20587522708148,250,3
3,50,1,1,50,25,9.244816903272245,250,3
4,50,1,1,50,25,9.275234036778146,250,3
5,50,1,1,50,25,9.249144901766506,250,3
6,50,1,1,50,25,9.242804712842629,250,3
7,50,1,1,50,25,9.210046802561509,250,3
8,50,1,1,50,25,9.242385867068771,250,3
9,50,1,1,50,25,9.207381269489447,250,3
10,50,1,1,50,25,9.258326672101349,250,3
1,50,1,4,128,25,12.036460680152812,675,8
2,50,1,4,128,25,11.92501927069254,675,8
3,50,1,4,128,25,11.946952725195983,675,8
4,50,1,4,128,25,11.873890601082838,675,8
5,50,1,4,128,25,11.812190834683877,675,8
6,50,1,4,128,25,11.746929574559664,675,8
7,50,1,4,128,25,11.943558603846414,675,8
8,50,1,4,128,25,11.655660411237898,675,8
9,50,1,4,128,25,11.986876094141943,675,8
10,50,1,4,128,25,12.033600293861804,675,8
1,50,4,17,550,25,12.613102210471286,2900,33
2,50,4,17,550,25,12.613102210471286,2900,33
3,50,4,17,550,25,12.613102210471286,2900,33
4,50,4,17,550,25,12.66924331151992,2900,33
5,50,4,17,550,25,12.533057449087694,2900,33
