i,n,b_low,b_high,r,approx,n_calls,time_ms
1,50,1,1,12,6.53840975767261,88773,2180
1,50,1,6,12,6.398215286620241,20259340,71701
1,50,1,1,25,9.283939530957571,105994,2369
1,50,1,4,25,12.863864772930388,8553453,33338
1,50,4,17,25,12.829332834287108,147099903,468802
1,50,2,8,50,23.46986504309605,47363780,160435
1,50,8,35,50,26.235421388276833,447739014,1375564
1,50,3,12,75,33.18304373971238,78899220,256523
1,50,13,53,75,37.98011971697176,921075450,2793449
1,100,1,1,25,10.811251841466628,451792,11049
1,100,1,4,25,13.98911116365817,55284554,212076
1,100,4,17,25,14.556587151503638,1153406896,3713496
1,100,1,1,50,18.686159262351882,509927,12075
1,100,2,8,50,26.794922259085517,297651693,1019324
1,100,8,35,50,35.77231056769289,3812368224,12139855
1,100,5,20,100,53.61725217776376,1740468661,5580381
1,100,18,74,100,65.6792482363773,11639963720,36755325
1,100,7,28,150,83.7285345136734,2702658009,8608250
1,100,27,109,150,72.9658858577457,20066804563,63100131
1,250,1,1,62,26.225043022588515,3396005,109501
