i,n,b_low,b_high,r,approx,n_calls,time_ms
1,50,1,1,12,1006.0,2020,62
2,50,1,1,12,1006.0,2000,59
3,50,1,1,12,1006.0,2022,60
4,50,1,1,12,1006.0,1997,59
5,50,1,1,12,1006.0,2002,52
6,50,1,1,12,1006.0,1991,50
7,50,1,1,12,1006.0,2008,51
8,50,1,1,12,1006.0,1987,50
9,50,1,1,12,1006.0,2002,49
10,50,1,1,12,1006.0,2015,49
11,50,1,1,12,1006.0,2017,49
12,50,1,1,12,1006.0,2019,50
13,50,1,1,12,1006.0,1988,49
14,50,1,1,12,1006.0,2038,50
15,50,1,1,12,1006.0,1991,49
16,50,1,1,12,1006.0,1988,49
17,50,1,1,12,1006.0,2002,49
18,50,1,1,12,1006.0,2021,50
19,50,1,1,12,1006.0,2013,49
20,50,1,1,12,1006.0,2029,49
21,50,1,1,12,1006.0,1991,49
22,50,1,1,12,1006.0,2059,50
23,50,1,1,12,1006.0,1988,48
24,50,1,1,12,1006.0,1991,49
25,50,1,1,12,1006.0,1988,48
26,50,1,1,12,1006.0,2048,49
27,50,1,1,12,1006.0,2030,49
28,50,1,1,12,1006.0,2044,50
29,50,1,1,12,1006.0,1989,49
30,50,1,1,12,1006.0,2049,50
31,50,1,1,12,1006.0,2002,49
32,50,1,1,12,1006.0,2118,52
33,50,1,1,12,1006.0,2007,49
34,50,1,1,12,1006.0,2037,50
35,50,1,1,12,1006.0,1987,50
36,50,1,1,12,1006.0,2026,49
37,50,1,1,12,1006.0,2051,50
38,50,1,1,12,1006.0,2081,51
39,50,1,1,12,1006.0,2012,49
40,50,1,1,12,1006.0,1995,49
41,50,1,1,12,1006.0,2002,49
42,50,1,1,12,1006.0,2018,49
43,50,1,1,12,1006.0,1996,49
44,50,1,1,12,1006.0,1993,49
45,50,1,1,12,1006.0,1999,49
46,50,1,1,12,1006.0,2002,49
47,50,1,1,12,1006.0,1993,49
48,50,1,1,12,1006.0,2054,50
49,50,1,1,12,1006.0,2051,50
50,50,1,1,12,1006.0,2008,49
51,50,1,1,12,1006.0,2015,49
52,50,1,1,12,1006.0,2014,50
53,50,1,1,12,1006.0,1989,49
54,50,1,1,12,1006.0,2012,49
55,50,1,1,12,1006.0,2066,50
56,50,1,1,12,1006.0,1997,49
57,50,1,1,12,1006.0,2028,49
58,50,1,1,12,1006.0,1993,49
59,50,1,1,12,1006.0,2009,49
60,50,1,1,12,1006.0,2001,49
61,50,1,1,12,1006.0,2003,49
62,50,1,1,12,1006.0,1995,49
63,50,1,1,12,1006.0,2028,50
64,50,1,1,12,1006.0,2091,51
65,50,1,1,12,1006.0,1988,49
66,50,1,1,12,1006.0,2096,51
67,50,1,1,12,1006.0,2044,50
68,50,1,1,12,1006.0,1996,49
69,50,1,1,12,1006.0,2054,50
70,50,1,1,12,1006.0,1995,49
71,50,1,1,12,1006.0,2179,54
72,50,1,1,12,1006.0,1995,49
73,50,1,1,12,1006.0,1988,49
74,50,1,1,12,1006.0,2003,49
75,50,1,1,12,1006.0,2049,50
76,50,1,1,12,1006.0,1999,49
77,50,1,1,12,1006.0,2000,49
78,50,1,1,12,1006.0,1995,49
79,50,1,1,12,1006.0,1991,49
80,50,1,1,12,1006.0,2009,49
81,50,1,1,12,1006.0,2003,49
82,50,1,1,12,1006.0,2004,49
83,50,1,1,12,1006.0,1994,49
84,50,1,1,12,1006.0,1988,49
85,50,1,1,12,1006.0,2010,49
86,50,1,1,12,1006.0,1996,49
87,50,1,1,12,1006.0,2002,49
88,50,1,1,12,1006.0,1997,49
89,50,1,1,12,1006.0,2030,49
90,50,1,1,12,1006.0,2016,49
91,50,1,1,12,1006.0,1987,49
92,50,1,1,12,1006.0,2052,50
93,50,1,1,12,1006.0,1997,49
94,50,1,1,12,1006.0,2012,49
95,50,1,1,12,1006.0,1994,49
96,50,1,1,12,1006.0,2015,50
97,50,1,1,12,1006.0,2009,49
98,50,1,1,12,1006.0,2002,49
99,50,1,1,12,1006.0,1990,49
100,50,1,1,12,1006.0,2029,49
