i,n,b_low,b_high,r,approx,n_calls,time_ms
1,50,1,1,12,1006.0,3839,1667
1,50,1,6,12,1051.0,3171,1588
1,50,1,1,25,1447.0,10748,1814
1,50,1,4,25,2097.0,9785,1798
1,50,4,17,25,2356.0,1698,1747
1,50,2,8,50,3401.0,15905,1974
1,50,8,35,50,4126.0,11459,1937
1,50,3,12,75,6842.0,5267,1989
1,50,13,53,75,7224.0,2650,1961
1,100,1,1,25,1894.0,22464,8614
1,100,1,4,25,2227.0,12276,8558
1,100,4,17,25,2474.0,894,8433
1,100,1,1,50,2419.0,232610,11139
1,100,2,8,50,4746.0,17883,9234
1,100,8,35,50,4826.0,7861,9092
1,100,5,20,100,8745.0,36571,9954
1,100,18,74,100,9641.0,12312,9924
1,100,7,28,150,13213.0,47190,10413
1,100,27,109,150,14550.0,531,10112
1,250,1,1,62,4805.0,149007,88161
1,250,3,12,62,5943.0,27559,86952
1,250,11,45,62,6076.0,1141,86539
1,250,1,1,125,6269.0,510809,96959
1,250,6,24,125,11969.0,89161,93155
1,250,23,92,125,12190.0,46256,93160
1,250,12,48,250,24002.0,102831,98601
1,250,46,184,250,24166.0,19102,98105
1,250,18,72,375,36047.0,91972,101691
1,250,69,276,375,37125.0,414,100956
1,375,1,1,93,6809.0,361167,258538
1,375,4,16,93,8978.0,120155,255699
1,375,16,66,93,9178.0,30540,256732
1,375,1,1,187,8572.0,3921099,307083
1,375,9,36,187,18123.0,144644,270958
1,375,34,137,187,18439.0,41464,269709
1,375,18,72,375,36504.0,130847,286161
1,375,69,276,375,36582.0,75651,285112
1,375,28,112,562,53150.0,268917,296117
1,375,104,417,562,55331.0,51531,294189
